table,condId,quantity,value,source
IV,R0_v23_repro,runs,2,R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat;R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat
IV,R0_v23_repro,completed,2,R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat;R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat
IV,R0_v23_repro,rms_mean,0.058848606183548854,R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat;R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat
IV,R0_v23_repro,rms_sd,0.0006405404436431855,R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat;R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat
IV,R0_v23_repro,rms_first_mean,0.02185731742720247,R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat;R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat
IV,R0_v23_repro,max_mean,0.1694719928362028,R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat;R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat
IV,R0_v23_repro,loop_mean_ms_median,100.51458354466047,R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat;R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat
IV,T10_nom,runs,5,T10_nom/T10_nom_r01_20260926_141757.mat;T10_nom/T10_nom_r02_20260926_141904.mat;T10_nom/T10_nom_r03_20260926_142016.mat;T10_nom/T10_nom_r04_20260926_142120.mat;T10_nom/T10_nom_r05_20260926_142400.mat
IV,T10_nom,completed,5,T10_nom/T10_nom_r01_20260926_141757.mat;T10_nom/T10_nom_r02_20260926_141904.mat;T10_nom/T10_nom_r03_20260926_142016.mat;T10_nom/T10_nom_r04_20260926_142120.mat;T10_nom/T10_nom_r05_20260926_142400.mat
IV,T10_nom,rms_mean,0.053469340203225045,T10_nom/T10_nom_r01_20260926_141757.mat;T10_nom/T10_nom_r02_20260926_141904.mat;T10_nom/T10_nom_r03_20260926_142016.mat;T10_nom/T10_nom_r04_20260926_142120.mat;T10_nom/T10_nom_r05_20260926_142400.mat
IV,T10_nom,rms_sd,0.001224701742881926,T10_nom/T10_nom_r01_20260926_141757.mat;T10_nom/T10_nom_r02_20260926_141904.mat;T10_nom/T10_nom_r03_20260926_142016.mat;T10_nom/T10_nom_r04_20260926_142120.mat;T10_nom/T10_nom_r05_20260926_142400.mat
IV,T10_nom,rms_first_mean,0.009564410501333916,T10_nom/T10_nom_r01_20260926_141757.mat;T10_nom/T10_nom_r02_20260926_141904.mat;T10_nom/T10_nom_r03_20260926_142016.mat;T10_nom/T10_nom_r04_20260926_142120.mat;T10_nom/T10_nom_r05_20260926_142400.mat
IV,T10_nom,max_mean,0.15852715437376702,T10_nom/T10_nom_r01_20260926_141757.mat;T10_nom/T10_nom_r02_20260926_141904.mat;T10_nom/T10_nom_r03_20260926_142016.mat;T10_nom/T10_nom_r04_20260926_142120.mat;T10_nom/T10_nom_r05_20260926_142400.mat
IV,T10_nom,loop_mean_ms_median,100.00192857142858,T10_nom/T10_nom_r01_20260926_141757.mat;T10_nom/T10_nom_r02_20260926_141904.mat;T10_nom/T10_nom_r03_20260926_142016.mat;T10_nom/T10_nom_r04_20260926_142120.mat;T10_nom/T10_nom_r05_20260926_142400.mat
IV,T40_cdr_nom,runs,5,T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat;T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat;T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat;T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat;T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat
IV,T40_cdr_nom,completed,5,T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat;T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat;T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat;T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat;T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat
IV,T40_cdr_nom,rms_mean,0.05332902443602765,T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat;T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat;T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat;T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat;T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat
IV,T40_cdr_nom,rms_sd,0.00041907641812808847,T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat;T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat;T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat;T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat;T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat
IV,T40_cdr_nom,rms_first_mean,0.014797345030730907,T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat;T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat;T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat;T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat;T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat
IV,T40_cdr_nom,max_mean,0.15480467389350328,T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat;T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat;T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat;T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat;T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat
IV,T40_cdr_nom,loop_mean_ms_median,50.133538461538464,T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat;T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat;T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat;T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat;T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat
IV,T40_ppo_nom,runs,5,T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat;T40_ppo_nom/T40_ppo_nom_r02_20260926_142820.mat;T40_ppo_nom/T40_ppo_nom_r03_20260926_142900.mat;T40_ppo_nom/T40_ppo_nom_r04_20260926_142925.mat;T40_ppo_nom/T40_ppo_nom_r05_20260926_142950.mat
IV,T40_ppo_nom,completed,5,T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat;T40_ppo_nom/T40_ppo_nom_r02_20260926_142820.mat;T40_ppo_nom/T40_ppo_nom_r03_20260926_142900.mat;T40_ppo_nom/T40_ppo_nom_r04_20260926_142925.mat;T40_ppo_nom/T40_ppo_nom_r05_20260926_142950.mat
IV,T40_ppo_nom,rms_mean,0.024127124161926024,T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat;T40_ppo_nom/T40_ppo_nom_r02_20260926_142820.mat;T40_ppo_nom/T40_ppo_nom_r03_20260926_142900.mat;T40_ppo_nom/T40_ppo_nom_r04_20260926_142925.mat;T40_ppo_nom/T40_ppo_nom_r05_20260926_142950.mat
IV,T40_ppo_nom,rms_sd,0.00029814698429914805,T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat;T40_ppo_nom/T40_ppo_nom_r02_20260926_142820.mat;T40_ppo_nom/T40_ppo_nom_r03_20260926_142900.mat;T40_ppo_nom/T40_ppo_nom_r04_20260926_142925.mat;T40_ppo_nom/T40_ppo_nom_r05_20260926_142950.mat
IV,T40_ppo_nom,rms_first_mean,0.0213617222701658,T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat;T40_ppo_nom/T40_ppo_nom_r02_20260926_142820.mat;T40_ppo_nom/T40_ppo_nom_r03_20260926_142900.mat;T40_ppo_nom/T40_ppo_nom_r04_20260926_142925.mat;T40_ppo_nom/T40_ppo_nom_r05_20260926_142950.mat
IV,T40_ppo_nom,max_mean,0.0439717188739553,T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat;T40_ppo_nom/T40_ppo_nom_r02_20260926_142820.mat;T40_ppo_nom/T40_ppo_nom_r03_20260926_142900.mat;T40_ppo_nom/T40_ppo_nom_r04_20260926_142925.mat;T40_ppo_nom/T40_ppo_nom_r05_20260926_142950.mat
IV,T40_ppo_nom,loop_mean_ms_median,50.15513017751478,T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat;T40_ppo_nom/T40_ppo_nom_r02_20260926_142820.mat;T40_ppo_nom/T40_ppo_nom_r03_20260926_142900.mat;T40_ppo_nom/T40_ppo_nom_r04_20260926_142925.mat;T40_ppo_nom/T40_ppo_nom_r05_20260926_142950.mat
III,M_send,median_ms,25.002000000000635,M_send/M_send_r01_20260926_140518.mat;M_send/M_send_r02_20260926_140638.mat;M_send/M_send_r03_20260926_140748.mat
III,M_fb,median_ms,50.006999999999024,M_fb/M_fb_r01_20260926_140536.mat;M_fb/M_fb_r02_20260926_140659.mat;M_fb/M_fb_r03_20260926_140811.mat
III,M_fk,median_ms,50.00599999999977,M_fk/M_fk_r01_20260926_140602.mat;M_fk/M_fk_r02_20260926_140719.mat;M_fk/M_fk_r03_20260926_140829.mat
III,M_full,median_ms,50.003999999999934,M_full/M_full_r01_20260926_140622.mat;M_full/M_full_r02_20260926_140739.mat;M_full/M_full_r03_20260926_140849.mat
III,R0_v23_repro,tracking_median_ms,100.00099999999978,R0_v23_repro/R0_v23_repro_r01_20260926_141207.mat;R0_v23_repro/R0_v23_repro_r02_20260926_141454.mat
III,T10_nom,tracking_median_ms,99.99999999999964,T10_nom/T10_nom_r01_20260926_141757.mat;T10_nom/T10_nom_r02_20260926_141904.mat;T10_nom/T10_nom_r03_20260926_142016.mat;T10_nom/T10_nom_r04_20260926_142120.mat;T10_nom/T10_nom_r05_20260926_142400.mat
III,T40_cdr_nom,tracking_median_ms,50.033999999999246,T40_cdr_nom/T40_cdr_nom_r01_20260926_141831.mat;T40_cdr_nom/T40_cdr_nom_r02_20260926_141934.mat;T40_cdr_nom/T40_cdr_nom_r03_20260926_142047.mat;T40_cdr_nom/T40_cdr_nom_r04_20260926_142159.mat;T40_cdr_nom/T40_cdr_nom_r05_20260926_142228.mat
III,T40_ppo_nom,tracking_median_ms,49.97199999999968,T40_ppo_nom/T40_ppo_nom_r01_20260926_142752.mat;T40_ppo_nom/T40_ppo_nom_r02_20260926_142820.mat;T40_ppo_nom/T40_ppo_nom_r03_20260926_142900.mat;T40_ppo_nom/T40_ppo_nom_r04_20260926_142925.mat;T40_ppo_nom/T40_ppo_nom_r05_20260926_142950.mat
setpoint_hw,S0_repro073/S00,d0_mm,172.88979918226744,S0_repro073/S0_repro073_S00_r01_20260926_151057.mat
setpoint_hw,S0_repro073/S00,final_mm_mean,16.7442886905661,S0_repro073/S0_repro073_S00_r01_20260926_151057.mat
setpoint_hw,S0_repro073/S00,closest_mm_mean,16.7442886905661,S0_repro073/S0_repro073_S00_r01_20260926_151057.mat
setpoint_hw,S0_repro073/S00,successes,1,S0_repro073/S0_repro073_S00_r01_20260926_151057.mat
setpoint_hw,S0_repro073/S00,runs,1,S0_repro073/S0_repro073_S00_r01_20260926_151057.mat
setpoint_hw,S0_repro073,success_rate_50mm,1.0,S0_repro073/S0_repro073_S00_r01_20260926_151057.mat
setpoint_hw,S10_nom/S02,d0_mm,102.0964839743726,S10_nom/S10_nom_S02_r01_20260926_151312.mat;S10_nom/S10_nom_S02_r02_20260926_153337.mat
setpoint_hw,S10_nom/S02,final_mm_mean,11.995481723072801,S10_nom/S10_nom_S02_r01_20260926_151312.mat;S10_nom/S10_nom_S02_r02_20260926_153337.mat
setpoint_hw,S10_nom/S02,closest_mm_mean,11.995481723072801,S10_nom/S10_nom_S02_r01_20260926_151312.mat;S10_nom/S10_nom_S02_r02_20260926_153337.mat
setpoint_hw,S10_nom/S02,successes,2,S10_nom/S10_nom_S02_r01_20260926_151312.mat;S10_nom/S10_nom_S02_r02_20260926_153337.mat
setpoint_hw,S10_nom/S02,runs,2,S10_nom/S10_nom_S02_r01_20260926_151312.mat;S10_nom/S10_nom_S02_r02_20260926_153337.mat
setpoint_hw,S10_nom/S01,d0_mm,115.09552081712161,S10_nom/S10_nom_S01_r01_20260926_151350.mat;S10_nom/S10_nom_S01_r02_20260926_153355.mat
setpoint_hw,S10_nom/S01,final_mm_mean,15.072251963584533,S10_nom/S10_nom_S01_r01_20260926_151350.mat;S10_nom/S10_nom_S01_r02_20260926_153355.mat
setpoint_hw,S10_nom/S01,closest_mm_mean,15.072251963584533,S10_nom/S10_nom_S01_r01_20260926_151350.mat;S10_nom/S10_nom_S01_r02_20260926_153355.mat
setpoint_hw,S10_nom/S01,successes,2,S10_nom/S10_nom_S01_r01_20260926_151350.mat;S10_nom/S10_nom_S01_r02_20260926_153355.mat
setpoint_hw,S10_nom/S01,runs,2,S10_nom/S10_nom_S01_r01_20260926_151350.mat;S10_nom/S10_nom_S01_r02_20260926_153355.mat
setpoint_hw,S10_nom/S03,d0_mm,192.08634457593325,S10_nom/S10_nom_S03_r01_20260926_151418.mat;S10_nom/S10_nom_S03_r02_20260926_153321.mat
setpoint_hw,S10_nom/S03,final_mm_mean,14.703317690585946,S10_nom/S10_nom_S03_r01_20260926_151418.mat;S10_nom/S10_nom_S03_r02_20260926_153321.mat
setpoint_hw,S10_nom/S03,closest_mm_mean,14.703317690585946,S10_nom/S10_nom_S03_r01_20260926_151418.mat;S10_nom/S10_nom_S03_r02_20260926_153321.mat
setpoint_hw,S10_nom/S03,successes,2,S10_nom/S10_nom_S03_r01_20260926_151418.mat;S10_nom/S10_nom_S03_r02_20260926_153321.mat
setpoint_hw,S10_nom/S03,runs,2,S10_nom/S10_nom_S03_r01_20260926_151418.mat;S10_nom/S10_nom_S03_r02_20260926_153321.mat
setpoint_hw,S10_nom/S00,d0_mm,203.70768547924848,S10_nom/S10_nom_S00_r01_20260926_151501.mat;S10_nom/S10_nom_S00_r02_20260926_153433.mat
setpoint_hw,S10_nom/S00,final_mm_mean,22.642636447828227,S10_nom/S10_nom_S00_r01_20260926_151501.mat;S10_nom/S10_nom_S00_r02_20260926_153433.mat
setpoint_hw,S10_nom/S00,closest_mm_mean,22.642636447828227,S10_nom/S10_nom_S00_r01_20260926_151501.mat;S10_nom/S10_nom_S00_r02_20260926_153433.mat
setpoint_hw,S10_nom/S00,successes,2,S10_nom/S10_nom_S00_r01_20260926_151501.mat;S10_nom/S10_nom_S00_r02_20260926_153433.mat
setpoint_hw,S10_nom/S00,runs,2,S10_nom/S10_nom_S00_r01_20260926_151501.mat;S10_nom/S10_nom_S00_r02_20260926_153433.mat
setpoint_hw,S10_nom/S04,d0_mm,223.4517350174845,S10_nom/S10_nom_S04_r01_20260926_151559.mat;S10_nom/S10_nom_S04_r02_20260926_153254.mat
