file,condId,startId,repetition,dry,agentLabel,cmdScale,eeSource,maxDuration,scriptVersion,gitHash,gitDirty,stopReason,converged,nSteps,tEnd,d0List_m,d0_m,final_m,closest_m,success50,settle50_s,pathLen_m,pathEff,overshoot_m,effFactor,loopMedian_ms,kortexResidualRms_m,minHeight_m,anyCap,anySoftLimit,softLimitFrac,softLimitJoints,hwLimitJoints
S0_repro073/S0_repro073_S00_r01_20260926_151057.mat,S0_repro073,S00,1,False,PPO set-point 10 Hz (fixed base),0.5,kortex,60.0,V2.4-SP,c1e1330,False,converged,True,216,21.612177,0.2036040042059805,0.17288979918226743,0.0167442886905661,0.0167442886905661,True,8.111972,0.2199819198015419,0.7859273132002897,0.0,0.5,99.9990000000004,0.007844858876908766,0.31739525891312315,False,True,0.5370370370370371,J4 J6,J4
S10_nom/S10_nom_S00_r01_20260926_151501.mat,S10_nom,S00,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,timeout,False,251,24.99969,0.2036040042059805,0.2037064976880312,0.022602591735710807,0.022602591735710807,True,2.599702,0.283674469756698,0.7180995098457265,0.0,1.0,100.00249999999966,0.005922073344024942,0.43357265771978104,False,True,0.5737051792828686,J6,
S10_nom/S10_nom_S00_r02_20260926_153433.mat,S10_nom,S00,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,timeout,False,250,24.900331,0.2036040042059805,0.20370887327046575,0.022682681159945643,0.022682681159945643,True,2.600173,0.2828670260438196,0.7201577225862612,0.0,1.0,100.0059999999996,0.005924229755213076,0.43356859462188546,False,True,0.572,J6,
S10_nom/S10_nom_S01_r01_20260926_151350.mat,S10_nom,S01,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,45,4.400462,0.11504606619550549,0.1150953888252089,0.014818625443562706,0.014818625443562706,True,2.1001689999999997,0.11763268596555958,0.9784303391568092,0.0,1.0,100.0080000000001,0.006301874524703758,0.49047803809084656,False,False,0.0,,
S10_nom/S10_nom_S01_r02_20260926_153355.mat,S10_nom,S01,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,44,4.300562,0.11504606619550549,0.11509565280903433,0.015325878483606363,0.015325878483606363,True,2.100578,0.11648810121590808,0.9880464322764358,0.0,1.0,99.99199999999986,0.006314225961741019,0.490478030353943,False,False,0.0,,
S10_nom/S10_nom_S02_r01_20260926_151312.mat,S10_nom,S02,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,32,3.125861,0.10212585706825815,0.1020968113645894,0.012595190039856003,0.012595190039856003,True,1.5251000000000001,0.09369889989966926,1.0,0.0,1.0,100.00699999999996,0.006034897031440347,0.5610776986785522,False,False,0.0,,
S10_nom/S10_nom_S02_r02_20260926_153337.mat,S10_nom,S02,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,33,3.200307,0.10212585706825815,0.10209615658415579,0.011395773406289599,0.011395773406289599,True,1.5001689999999999,0.09513386738779503,1.0,0.0,1.0,100.03849999999991,0.00602517063117257,0.5606314843985969,False,False,0.0,,
S10_nom/S10_nom_S03_r01_20260926_151418.mat,S10_nom,S03,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,43,4.200428,0.1919869719658556,0.19208596016965948,0.014365269338392491,0.014365269338392491,True,2.400159,0.20589756393372033,0.9329200234321039,0.0,1.0,99.9994999999998,0.005980308787572411,0.4761500492603117,False,False,0.0,,
S10_nom/S10_nom_S03_r02_20260926_153321.mat,S10_nom,S03,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,converged,True,42,4.100485,0.1919869719658556,0.19208672898220702,0.0150413660427794,0.0150413660427794,True,2.300211,0.20364411712619987,0.9432471298111172,0.0,1.0,100.0230000000002,0.005990450449179371,0.4761506737466583,False,False,0.0,,
S10_nom/S10_nom_S04_r01_20260926_151559.mat,S10_nom,S04,1,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,timeout,False,250,24.900332,0.22336999156714926,0.22345041511545685,0.0219788847268032,0.020237876755739414,True,3.300227,0.31368296209338686,0.7123447624449976,0.0,1.0,100.00099999999978,0.005819107380873947,0.4858952438376847,False,True,0.56,J6,
S10_nom/S10_nom_S04_r02_20260926_153254.mat,S10_nom,S04,2,False,PPO set-point 10 Hz (fixed base),1.0,fk,25.0,V2.4-SP,c1e1330,True,timeout,False,250,24.900325,0.22336999156714926,0.22345305491951217,0.022071437687099432,0.020594118939373362,True,3.300164,0.31315796567093873,0.7135474087039925,0.0,1.0,99.9990000000004,0.00582233589847255,0.48589525001333655,False,True,0.56,J6,
