session,datetime,id,approved,listMd5,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,tool_meas_x,tool_meas_y,tool_meas_z,tool_pred_x,tool_pred_y,tool_pred_z,tool_residual_m,note,gitHash
2026-09-26T14:32:37,2026-09-26 14:33:07,Z00,1,d248fc76baa653bafbef938922b679ae,-9.64,9.62,195.02,-111.03,8.01,66.03,100.78,0.6473,0.0183,0.7511,0.5780,0.0045,0.7049,0.0844,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:33:19,S00,1,d248fc76baa653bafbef938922b679ae,0.00,15.01,180.00,-130.00,-0.00,54.99,90.00,0.6608,0.0063,0.4340,0.5777,0.0013,0.4336,0.0833,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:33:26,S01,1,d248fc76baa653bafbef938922b679ae,-6.43,5.67,182.75,-126.99,-13.77,57.37,83.07,0.6302,-0.0251,0.5798,0.5500,-0.0198,0.5589,0.0830,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:33:35,S02,1,d248fc76baa653bafbef938922b679ae,-10.25,-4.57,197.85,-119.86,-1.70,54.64,104.06,0.5730,-0.0878,0.7513,0.5009,-0.0819,0.7094,0.0836,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:33:43,S03,1,d248fc76baa653bafbef938922b679ae,6.74,16.69,182.41,-115.63,-17.02,44.29,95.53,0.6991,-0.1782,0.4823,0.6195,-0.1547,0.4803,0.0830,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:33:56,S04,1,d248fc76baa653bafbef938922b679ae,-2.19,19.52,160.56,-110.60,-4.41,41.81,90.85,0.7111,0.2287,0.4992,0.6321,0.1983,0.4974,0.0846,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:34:04,S05,1,d248fc76baa653bafbef938922b679ae,2.33,35.13,196.77,-109.01,-19.71,39.48,72.48,0.7288,-0.2833,0.2984,0.6561,-0.2481,0.3168,0.0829,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:34:12,S06,1,d248fc76baa653bafbef938922b679ae,-21.31,-6.76,158.29,-119.19,-7.94,31.13,68.32,0.4480,0.4108,0.6325,0.3867,0.3538,0.6207,0.0845,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:35:02,S07,1,d248fc76baa653bafbef938922b679ae,26.42,30.29,205.51,-105.84,-21.85,32.69,64.74,0.4810,-0.6213,0.3718,0.4374,-0.5525,0.3849,0.0825,"",c1e1330
2026-09-26T14:32:37,2026-09-26 14:35:11,S08,1,d248fc76baa653bafbef938922b679ae,-34.25,31.86,176.25,-120.26,28.28,61.36,104.00,0.4642,0.5538,0.3443,0.4278,0.4775,0.3515,0.0849,"",c1e1330
