label,source,rmse_ep,mae_ep,max_ep,final_ep,cmd_rate,duration,phaseEnd
agent_train_seed11,real,0.052792,0.039494,0.157559,0.125209,0.032235,16.9552,0.9974
agent_train_seed11,real,0.051323,0.037863,0.153667,0.123724,0.031276,16.8543,0.9914
agent_train_seed11,real,0.053645,0.039591,0.157400,0.127819,0.031334,16.8946,0.9938
agent_train_seed11,real,0.052431,0.039244,0.156945,0.123095,0.031731,16.8880,0.9934
agent_train_seed11,real,0.053377,0.040893,0.156820,0.125457,0.032070,16.9330,0.9961
sim_circle_seed1,sim,0.088935,0.063552,0.234020,0.204906,0.248870,8.5000,1.0000
sim_circle_seed2,sim,0.088526,0.062448,0.234077,0.206756,0.233498,8.5000,1.0000
sim_circle_seed3,sim,0.085019,0.061168,0.223244,0.195946,0.228097,8.5000,1.0000
sim_circle_seed4,sim,0.085798,0.060089,0.228460,0.199778,0.222429,8.5000,1.0000
sim_circle_seed5,sim,0.085028,0.058571,0.228630,0.199333,0.243580,8.5000,1.0000
