case,model,agent,rate_Hz,Ts,base_mass,delay_steps,mse_ee,rms_ee,max_ee,return,early_stop,stop_reason,n_steps,ori_max,w_mean,sat_frac_J6,araw_absmax_J6,wall_s
A_orig40,SpaceKinova_MotionProfile_40Hz,CDR2-4,40,0.005,65,0,0.00346982044397274,0.0589051818091816,0.173520615807369,1560.96873808402,0,none,341,0.0124900923728318,0.00354330730923202,NaN,NaN,15.6823578
A_desk40,SK_desktop,CDR2-4,40,0.005,65,0,0.00346982044332695,0.0589051818037,0.173520616130402,1560.96873812675,0,none,341,0.0124900923105419,0.0035433072836239,1,0.731857717037201,5.5115806
B_origCDR,SpaceKinova_MotionProfile_CDR,CDR2-4,40,0.005,65,0,0.00460288936962765,0.0678445972029287,0.192430516192439,1470.63581151566,0,none,341,0.0188379556796078,0.0065374160726847,NaN,NaN,3.3255285
B_deskCDR,SK_desktop,CDR2-4,40,0.005,16.25,2,0.00460288936962765,0.0678445972029287,0.192430516192439,1470.63581151566,0,none,341,0.0188379556796078,0.0065374160726847,1,0.732081532478333,2.7418882
C_orig10,SpaceKinova_MotionProfile,ppo_10hz,10,0.02,65,0,0.00440993731278958,0.0664073588752751,0.190025684194784,1898.43750789548,0,none,426,0.0132699153856887,0.00418094305334581,NaN,NaN,2.3673682
C_desk10,SK_desktop,ppo_10hz,10,0.02,65,0,0.00440993732973874,0.0664073590028902,0.190025683175209,380.690057240013,0,none,86,0.0132699158047672,0.00418094317202163,1,0.736720144748688,1.8801691
D_desk40_rep,SK_desktop,CDR2-4,40,0.005,65,0,0.00346982044332695,0.0589051818037,0.173520616130402,1560.96873812675,0,none,341,0.0124900923105419,0.0035433072836239,1,0.731857717037201,2.539459
E_desk10_5ms,SK_desktop,ppo_10hz,10,0.005,65,0,0.00438438757365865,0.0662147081369287,0.190026532289763,380.692212092042,0,none,86,0.0132863491522225,0.00418772938254014,1,0.736702978610992,2.2808058
F_desk40_fixed,SK_desktop,CDR2-4,40,0.005,1000000000,0,0.00244302332297681,0.0494269493594012,0.152019912535944,1637.35596991832,0,none,341,1.56325771121877e-09,4.20139606397014e-10,1,0.731820166110992,2.5452703
G_desk40_stoch,SK_desktop,CDR2-4,40,0.005,65,0,0.00450674893043927,0.0671323240357376,0.190258840190517,1417.00960019671,0,none,341,0.0103451004683599,0.00390581001782559,0.956011730205279,1.63065266609192,2.4999138
H_desk10_6p5kg,SK_desktop,ppo_10hz,10,0.02,6.5,0,0.00731199472639582,0.0855102024696224,0.227778542844657,195.360239302556,0,none,86,0.0271843088472955,0.00865577675183106,1,0.740638017654419,1.3422688
