episode,reward,avg_reward,q0,steps
1,-110.034707107561,-110.034707107561,-3.51672242686618e-05,40
2,-136.369136962497,-123.201922035029,-3.51672242686618e-05,55
3,-67.9466188005617,-104.78348762354,-3.51672242686618e-05,85
4,-33.1838570867598,-86.8835799893448,-3.51672242686618e-05,85
5,-38.4578401783044,-77.1984320271367,-3.51672242686618e-05,85
6,-87.3500086900516,-78.8903614709559,-3.51672242686618e-05,85
7,-87.501924741135,-80.1205847952672,-3.51672242686618e-05,85
8,21.9562016700899,-67.3609864870975,-3.51672242686618e-05,85
9,-5.23984630690088,-60.4586375781868,-3.51672242686618e-05,85
10,-26.4919379790117,-57.0619676182693,-3.51672242686618e-05,85
11,-136.60275901631,-64.2929486544548,-3.51672242686618e-05,85
12,-213.227347322226,-76.7041485434357,-3.51672242686618e-05,85
13,-66.4749960199117,-75.9172906570108,-3.51672242686618e-05,85
14,-31.8909076071919,-72.7725490105952,-3.51672242686618e-05,85
15,-128.592846596896,-76.4939021830152,-3.51672242686618e-05,85
16,-72.9275341957403,-76.2710041838105,-3.51672242686618e-05,85
17,-22.1945972142837,-73.090039067956,-3.51672242686618e-05,85
18,-173.952940588689,-78.6935335968856,-3.51672242686618e-05,85
19,-122.612791993484,-81.005073512496,-3.51672242686618e-05,75
20,-124.901105674236,-83.199875120583,-3.51672242686618e-05,85
21,16.8430912062875,-78.435924343113,-3.51672242686618e-05,85
22,-73.5839051311847,-78.215378015298,-3.51672242686618e-05,85
23,-80.3994651675311,-78.3103383262647,-3.51672242686618e-05,85
24,-128.044521468749,-80.3825959572015,-3.51672242686618e-05,85
25,-22.7679917015055,-78.0780117869737,-3.51672242686618e-05,85
26,-165.308813101795,-80.2889760267431,-16.2785224914551,85
27,-110.778873215802,-79.2653654768753,-16.2785224914551,85
28,-176.167642009102,-83.5942064052169,-16.2785224914551,85
29,-62.4494284007434,-84.7648292577762,-16.2785224914551,85
30,-57.9204349331257,-85.5433330479691,-16.2785224914551,85
31,-97.3981681729101,-85.9452594272834,-16.2785224914551,85
32,-94.2810538881635,-86.2164245931645,-16.2785224914551,85
33,-77.6061806364925,-90.1989198854278,-16.2785224914551,85
34,-37.3654171859306,-91.483942720589,-16.2785224914551,85
35,-88.0816356587566,-93.9475306277788,-16.2785224914551,85
36,-82.9305480611047,-91.8006421895706,-16.2785224914551,85
37,-79.6455685419909,-86.4573710383612,-16.2785224914551,57
38,-115.915554122997,-88.4349933624846,-16.2785224914551,85
39,-86.9154193862537,-90.6359738336471,-16.2785224914551,56
40,-86.7891618278636,-88.9638264428858,-16.2785224914551,43
41,-47.7090891011508,-87.9550886391023,-16.2785224914551,85
42,-105.308940236109,-91.2796623599753,-16.2785224914551,85
43,-121.987548895432,-89.201046692245,-16.2785224914551,85
44,-108.291680766389,-88.6282022431612,-16.2785224914551,43
45,-264.756877656445,-94.2224331224496,-16.2785224914551,85
46,-54.8598891979982,-97.090552338621,-16.2785224914551,85
47,-60.1052625272849,-96.551406634465,-16.2785224914551,85
48,-86.781206892487,-96.8066763034633,-16.2785224914551,85
49,-38.4424791721815,-93.2225946116006,-16.2785224914551,85
50,-34.8771977941261,-93.7069628553054,-16.2785224914551,85
51,-162.868830263047,-93.6093635417555,-16.2785224914551,85
52,-88.9302199223039,-92.7354174100156,-26.8719005584717,85
53,-54.5495428721411,-87.8706934445372,-26.8719005584717,85
54,-79.8438503583566,-88.5664703228417,-26.8719005584717,85
55,-80.0164523661463,-89.4503110201625,-26.8719005584717,85
56,-183.657469889578,-92.9006830888292,-26.8719005584717,85
57,-77.3700370186892,-92.2242424140502,-26.8719005584717,85
58,-43.712118771793,-90.8684799394622,-26.8719005584717,85
59,-249.307492601602,-99.3461629560891,-26.8719005584717,85
60,-68.3773831226827,-98.5579928546462,-26.8719005584717,85
61,-92.7545964607484,-98.9509547906319,-26.8719005584717,85
62,-87.4455513793638,-99.2629541041268,-26.8719005584717,85
63,-86.9045997132653,-98.1025159277376,-26.8719005584717,85
64,-78.4989369324153,-97.765856629584,-26.8719005584717,85
65,-155.117761539453,-100.499000618048,-26.8719005584717,85
66,-129.48107960331,-103.769880238134,-26.8719005584717,85
67,-124.930439539939,-104.554740210287,-26.8719005584717,48
68,-59.0500085202274,-102.037238595279,-26.8719005584717,85
69,-57.6039528857803,-100.009729480055,-26.8719005584717,85
70,-117.899241448627,-94.1354240317419,-26.8719005584717,73
71,-114.408726754986,-96.5173775340214,-26.8719005584717,85
