SpaceKinova eingerichtet: C:\Users\Deermste\Documents\FraUas\BachelorThesis\Matlab
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 2 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 8 workers.
D10: 40 Hz, Seed 0, 1000 Episoden, 8 Worker, Solver 0.005 s
Episode:   1/1000 | Episode reward:  -522.98 | Episode steps:  218 | Average reward:  -522.98 | Step Count:  218 | Episode Q0:     0.00
Episode:   2/1000 | Episode reward:  -123.27 | Episode steps:  340 | Average reward:  -323.13 | Step Count:  558 | Episode Q0:     0.00
Episode:   3/1000 | Episode reward:  -275.39 | Episode steps:  340 | Average reward:  -307.21 | Step Count:  898 | Episode Q0:     0.00
Episode:   4/1000 | Episode reward:  -275.80 | Episode steps:  340 | Average reward:  -299.36 | Step Count: 1238 | Episode Q0:     0.00
Episode:   5/1000 | Episode reward:  -176.03 | Episode steps:  340 | Average reward:  -274.69 | Step Count: 1578 | Episode Q0:     0.00
Episode:   6/1000 | Episode reward:  -311.16 | Episode steps:  340 | Average reward:  -280.77 | Step Count: 1918 | Episode Q0:     0.00
Episode:   7/1000 | Episode reward:  -768.38 | Episode steps:  340 | Average reward:  -350.43 | Step Count: 2258 | Episode Q0:     0.00
Episode:   8/1000 | Episode reward:  -172.00 | Episode steps:  340 | Average reward:  -328.13 | Step Count: 2598 | Episode Q0:   -11.93
Episode:   9/1000 | Episode reward:  -208.24 | Episode steps:  340 | Average reward:  -314.81 | Step Count: 2938 | Episode Q0:   -11.93
Episode:  10/1000 | Episode reward:  -545.21 | Episode steps:  340 | Average reward:  -337.85 | Step Count: 3278 | Episode Q0:   -11.93
Episode:  11/1000 | Episode reward:  -272.77 | Episode steps:  340 | Average reward:  -331.93 | Step Count: 3618 | Episode Q0:   -11.93
Episode:  12/1000 | Episode reward:  -926.15 | Episode steps:  340 | Average reward:  -381.45 | Step Count: 3958 | Episode Q0:   -11.93
Episode:  13/1000 | Episode reward: -1037.04 | Episode steps:  340 | Average reward:  -431.88 | Step Count: 4298 | Episode Q0:   -11.93
Episode:  14/1000 | Episode reward:  -234.49 | Episode steps:  340 | Average reward:  -417.78 | Step Count: 4638 | Episode Q0:    -6.55
Episode:  15/1000 | Episode reward:  -910.12 | Episode steps:  340 | Average reward:  -450.60 | Step Count: 4978 | Episode Q0:    -6.55
Episode:  16/1000 | Episode reward:  -333.43 | Episode steps:  340 | Average reward:  -443.28 | Step Count: 5318 | Episode Q0:    -6.55
Episode:  17/1000 | Episode reward:  -230.84 | Episode steps:  340 | Average reward:  -430.78 | Step Count: 5658 | Episode Q0:    -6.55
Episode:  18/1000 | Episode reward:  -468.14 | Episode steps:  200 | Average reward:  -432.86 | Step Count: 5858 | Episode Q0:    -6.55
Episode:  19/1000 | Episode reward:  -402.67 | Episode steps:  340 | Average reward:  -431.27 | Step Count: 6198 | Episode Q0:    -6.55
Episode:  20/1000 | Episode reward:  -181.85 | Episode steps:  340 | Average reward:  -418.80 | Step Count: 6538 | Episode Q0:    -6.55
