set,agent,train_Hz,run_Hz,n,completion,mse_mean,mse_std,mse_median,rms_mean,max_mean,max_max,mse_completed_mean,sat_J6
delay_100ms,CDR2-4,40,10,1,1,0.00418732208117832,0,0.00418732208117832,0.0647095207923712,0.177924216745901,0.177924216745901,0.00418732208117832,1
delay_100ms,CDR2-4,40,40,1,1,0.00376248936049301,0,0.00376248936049301,0.0613391340050788,0.176603704057876,0.176603704057876,0.00376248936049301,1
delay_100ms,Optimized,40,10,1,1,0.00462091174668758,0,0.00462091174668758,0.0679772884623061,0.19513182064288,0.19513182064288,0.00462091174668758,0.941860465116279
delay_100ms,Optimized,40,40,1,1,0.00409246718455918,0,0.00409246718455918,0.0639723939254986,0.181469094310701,0.181469094310701,0.00409246718455918,0.914956011730205
delay_100ms,PPO_base,40,10,1,1,0.00201070935203055,0,0.00201070935203055,0.0448409338889206,0.0659830041220797,0.0659830041220797,0.00201070935203055,0.941860465116279
delay_100ms,PPO_base,40,40,1,1,0.00159971154541322,0,0.00159971154541322,0.0399963941551389,0.0694390942973016,0.0694390942973016,0.00159971154541322,0.926686217008798
delay_100ms,ppo_10hz,10,10,1,1,0.00445669963207171,0,0.00445669963207171,0.0667585172998301,0.190536779562183,0.190536779562183,0.00445669963207171,1
delay_100ms,ppo_10hz,10,40,1,1,0.00427272805552771,0,0.00427272805552771,0.0653661078505345,0.18796420515458,0.18796420515458,0.00427272805552771,1
delay_200ms,CDR2-4,40,10,1,1,0.00445273615371439,0,0.00445273615371439,0.0667288255082793,0.179087464302775,0.179087464302775,0.00445273615371439,1
delay_200ms,CDR2-4,40,40,1,1,0.00527605724211059,0,0.00527605724211059,0.0726364732218641,0.181490634642531,0.181490634642531,0.00527605724211059,1
delay_200ms,Optimized,40,10,1,1,0.00482251275442859,0,0.00482251275442859,0.0694443140539856,0.197371005302223,0.197371005302223,0.00482251275442859,0.941860465116279
delay_200ms,Optimized,40,40,1,1,0.00501158662028,0,0.00501158662028,0.0707925604868195,0.204721421652284,0.204721421652284,0.00501158662028,0.958944281524927
delay_200ms,PPO_base,40,10,1,1,0.00419842922289483,0,0.00419842922289483,0.064795287042306,0.108914950933404,0.108914950933404,0.00419842922289483,0.918604651162791
delay_200ms,PPO_base,40,40,1,1,0.00395287525217963,0,0.00395287525217963,0.0628718955669354,0.10979456724427,0.10979456724427,0.00395287525217963,0.93841642228739
delay_200ms,ppo_10hz,10,10,1,1,0.00456805150426682,0,0.00456805150426682,0.0675873620158889,0.193047492046727,0.193047492046727,0.00456805150426682,1
delay_200ms,ppo_10hz,10,40,1,1,0.00463112025529537,0,0.00463112025529537,0.0680523346792406,0.19376528157882,0.19376528157882,0.00463112025529537,1
e1,CDR2-4,40,40,1,1,0.00460288939090154,0,0.00460288939090154,0.0678445973597128,0.192430516341407,0.192430516341407,0.00460288939090154,1
e1_stoch,CDR2-4,40,40,20,1,0.00502622477898121,0.000296505228917159,0.00501977695917338,0.0708664805931442,0.197882587895875,0.206383227680922,0.00502622477898121,0.95366568914956
mass,CDR2-4,40,10,20,1,0.00398183647893281,0.000308391786475634,0.00395714655609479,0.0630578024430861,0.175763783927594,0.186941155166755,0.00398183647893281,1
mass,CDR2-4,40,40,20,1,0.00339715309653977,0.000330272366742118,0.00337901069768974,0.058221091104216,0.17196841656956,0.182828726946088,0.00339715309653977,1
mass,Optimized,40,10,20,1,0.00437514044297911,0.000486176158987936,0.00435695987734555,0.0660498384152692,0.191461456162738,0.204393878322806,0.00437514044297911,0.930232558139535
mass,Optimized,40,40,20,1,0.00346859848044782,0.00046426509739274,0.00344433738589939,0.0587727708469811,0.173893729440488,0.188430096641607,0.00346859848044782,0.908357771260997
