part,agent,train_ms,step_ms,base,ref,obs_v21,scale,slew,hwrun,hw_steps,ood04,ood04_step,ood04_t,mse_ee,max_ee,completed,stop_reason,n_steps,ep_step_rmsdiff_hw
B,PPO_base,25,100,fixed,sample,1,0.3,v21,run_008_agent_train_seed1_singular,44,1,56,5.5,0.0482892700915852,0.541491128922948,0,ep>0.5m,63,0.0761897908037629
B,PPO_base,25,125,fixed,sample,1,0.3,v21,run_008_agent_train_seed1_singular,44,1,53,6.5,0.0441629062662781,0.527598899435436,0,ep>0.5m,58,0.0641547762484838
B,PPO_base,25,150,fixed,sample,1,0.3,v21,run_008_agent_train_seed1_singular,44,1,50,7.35,0.0440613643244005,0.534416335414889,0,ep>0.5m,55,0.0524408164787804
B,PPO_base,25,100,fixed,sample,1,0.5,v21,run_009_agent_train_seed2_singular,34,1,48,4.7,0.0464549301456421,0.550408859457844,0,ep>0.5m,53,0.0906023831757062
B,PPO_base,25,125,fixed,sample,1,0.5,v21,run_009_agent_train_seed2_singular,34,1,45,5.5,0.0422484383779823,0.535015390161877,0,ep>0.5m,49,0.083095879883295
B,PPO_base,25,150,fixed,sample,1,0.5,v21,run_009_agent_train_seed2_singular,34,1,43,6.3,0.0441901546375174,0.554273766586653,0,ep>0.5m,47,0.0760750372333433
B,PPO_base,25,100,fixed,sample,1,0.8,v21,run_010_agent_train_seed3_singular,32,1,41,4,0.0457597017614561,0.56604173147613,0,ep>0.5m,46,0.0929929665098444
B,PPO_base,25,125,fixed,sample,1,0.8,v21,run_010_agent_train_seed3_singular,32,1,39,4.75,0.0423810904086238,0.555501250721193,0,ep>0.5m,43,0.0841583653188318
B,PPO_base,25,150,fixed,sample,1,0.8,v21,run_010_agent_train_seed3_singular,32,1,38,5.55,0.0407710956194869,0.553053341570741,0,ep>0.5m,41,0.0762958928399724
B,PPO_base,25,100,fixed,sample,1,1,v21,run_011_agent_train_seed4_singular,32,1,39,3.8,0.0415295234051274,0.551775221295477,0,ep>0.5m,43,0.07207317360063
B,PPO_base,25,125,fixed,sample,1,1,v21,run_011_agent_train_seed4_singular,32,1,37,4.5,0.0416264016692755,0.56241209765938,0,ep>0.5m,41,0.0627494384947434
B,PPO_base,25,150,fixed,sample,1,1,v21,run_011_agent_train_seed4_singular,32,1,36,5.25,0.0443961199090447,0.58736006718388,0,ep>0.5m,40,0.0551262208904452
B,CDR2-4,25,100,fixed,sample,1,0.3,v21,run_012_agent_train_seed1_cdr,67,1,112,11.1,0.0426374683749259,0.472930649107339,1,none,121,0.11116604757161
B,CDR2-4,25,125,fixed,sample,1,0.3,v21,run_012_agent_train_seed1_cdr,67,1,96,11.875,0.0280754153692564,0.415437045397814,1,none,97,0.094855003718705
B,CDR2-4,25,150,fixed,sample,1,0.3,v21,run_012_agent_train_seed1_cdr,67,0,NaN,NaN,0.0165404287241682,0.343307428720993,1,none,81,0.0778350109377144
B,CDR2-4,25,100,fixed,sample,1,0.5,v21,run_013_agent_train_seed2_cdr,51,1,69,6.8,0.0466843423247912,0.520619418539967,0,ep>0.5m,77,0.107922060342026
B,CDR2-4,25,125,fixed,sample,1,0.5,v21,run_013_agent_train_seed2_cdr,51,1,65,8,0.0478255366557849,0.527146486659021,0,ep>0.5m,73,0.090290103196486
B,CDR2-4,25,150,fixed,sample,1,0.5,v21,run_013_agent_train_seed2_cdr,51,1,62,9.15,0.0475078453983139,0.532133201928496,0,ep>0.5m,69,0.0738089196232684
B,CDR2-4,25,100,fixed,sample,1,0.8,v21,run_014_agent_train_seed3_cdr,34,1,44,4.3,0.0412176115929577,0.53174432305287,0,ep>0.5m,48,0.131626469703332
B,CDR2-4,25,125,fixed,sample,1,0.8,v21,run_014_agent_train_seed3_cdr,34,1,42,5.125,0.0484368628472527,0.553429722285611,0,ep>0.5m,47,0.113559627786201
B,CDR2-4,25,150,fixed,sample,1,0.8,v21,run_014_agent_train_seed3_cdr,34,1,40,5.85,0.0467690552655231,0.529917662710457,0,ep>0.5m,45,0.0972420272851597
