part,agent,train_ms,step_ms,base,ref,obs_v21,scale,slew,hwrun,hw_steps,ood04,ood04_step,ood04_t,mse_ee,max_ee,completed,stop_reason,n_steps,ep_step_rmsdiff_hw
A,PPO_base,25,25,fixed,wall,0,1,train,,NaN,0,NaN,NaN,0.000329322278662587,0.041319156234881,1,none,341,NaN
A,PPO_base,25,25,fixed,wall,0,0.5,train,,NaN,0,NaN,NaN,0.00590824033471482,0.11251660638821,1,none,341,NaN
A,PPO_base,25,25,fixed,wall,1,1,train,,NaN,1,59,1.45,0.0475427195105372,0.525828073727927,0,ep>0.5m,65,NaN
A,PPO_base,25,25,fixed,wall,1,0.5,train,,NaN,1,74,1.825,0.0519361307100175,0.521701212007163,0,ep>0.5m,83,NaN
A,PPO_base,25,25,fixed,sample,0,1,train,,NaN,0,NaN,NaN,0.000345167551122115,0.0448807728286265,1,none,341,NaN
A,PPO_base,25,25,fixed,sample,0,0.5,train,,NaN,0,NaN,NaN,0.00581635548836949,0.112483430516112,1,none,341,NaN
A,PPO_base,25,25,fixed,sample,1,1,train,,NaN,1,59,1.45,0.0474650624223291,0.526413502379091,0,ep>0.5m,65,NaN
A,PPO_base,25,25,fixed,sample,1,0.5,train,,NaN,1,74,1.825,0.0518065359117636,0.522053103621408,0,ep>0.5m,83,NaN
A,PPO_base,25,140,fixed,wall,0,1,train,,NaN,0,NaN,NaN,0.00270443681213138,0.0783923059182557,1,none,61,NaN
A,PPO_base,25,140,fixed,wall,0,1,v21,,NaN,0,NaN,NaN,0.00695141613574034,0.125541081563532,1,none,61,NaN
A,PPO_base,25,140,fixed,wall,0,0.5,train,,NaN,0,NaN,NaN,0.0211857194875979,0.215146340177087,1,none,61,NaN
A,PPO_base,25,140,fixed,wall,0,0.5,v21,,NaN,0,NaN,NaN,0.0344492525363436,0.281748151604256,1,none,61,NaN
A,PPO_base,25,140,fixed,wall,1,1,train,,NaN,1,22,2.94,0.0496230886289638,0.590602641429326,0,ep>0.5m,24,NaN
A,PPO_base,25,140,fixed,wall,1,1,v21,,NaN,1,22,2.94,0.0720862793845061,0.577459126328244,0,ep>0.5m,26,NaN
A,PPO_base,25,140,fixed,wall,1,0.5,train,,NaN,1,22,2.94,0.0629437128086952,0.569269168615811,0,ep>0.5m,25,NaN
A,PPO_base,25,140,fixed,wall,1,0.5,v21,,NaN,1,26,3.5,0.0725668093686944,0.536101911314078,0,ep>0.5m,31,NaN
A,PPO_base,25,140,fixed,sample,0,1,train,,NaN,0,NaN,NaN,0.0128947551247022,0.183756356310175,1,none,61,NaN
A,PPO_base,25,140,fixed,sample,0,1,v21,,NaN,0,NaN,NaN,0.0123726277850922,0.18084883330813,1,none,61,NaN
A,PPO_base,25,140,fixed,sample,0,0.5,train,,NaN,0,NaN,NaN,0.0126304681928328,0.141171268791809,1,none,61,NaN
A,PPO_base,25,140,fixed,sample,0,0.5,v21,,NaN,0,NaN,NaN,0.0124276424089585,0.141149546365167,1,none,61,NaN
A,PPO_base,25,140,fixed,sample,1,1,train,,NaN,1,22,2.94,0.0554426140370643,0.631812602675084,0,ep>0.5m,25,NaN
A,PPO_base,25,140,fixed,sample,1,1,v21,,NaN,1,37,5.04,0.0407795913263443,0.561675568811488,0,ep>0.5m,40,NaN
A,PPO_base,25,140,fixed,sample,1,0.5,train,,NaN,1,38,5.18,0.037937085761319,0.550067255906132,0,ep>0.5m,41,NaN
A,PPO_base,25,140,fixed,sample,1,0.5,v21,,NaN,1,43,5.88,0.0448669964914822,0.555422271631348,0,ep>0.5m,48,NaN
A,CDR2-4,25,25,fixed,wall,0,1,train,,NaN,0,NaN,NaN,0.00244302332297681,0.152019912535944,1,none,341,NaN
A,CDR2-4,25,25,fixed,wall,0,0.5,train,,NaN,0,NaN,NaN,0.00840936015193622,0.210823694693518,1,none,341,NaN
A,CDR2-4,25,25,fixed,wall,1,1,train,,NaN,1,66,1.625,0.0406583416675526,0.525928852081956,0,ep>0.5m,72,NaN
A,CDR2-4,25,25,fixed,wall,1,0.5,train,,NaN,1,106,2.625,0.0421264973400501,0.51062219783091,0,ep>0.5m,118,NaN
A,CDR2-4,25,25,fixed,sample,0,1,train,,NaN,0,NaN,NaN,0.00241386334965042,0.15197621960541,1,none,341,NaN
A,CDR2-4,25,25,fixed,sample,0,0.5,train,,NaN,0,NaN,NaN,0.00830782161213469,0.210786994150944,1,none,341,NaN
A,CDR2-4,25,25,fixed,sample,1,1,train,,NaN,1,66,1.625,0.0408205138716442,0.525880867037618,0,ep>0.5m,72,NaN
A,CDR2-4,25,25,fixed,sample,1,0.5,train,,NaN,1,106,2.625,0.0422698242560008,0.510664494458731,0,ep>0.5m,118,NaN
A,CDR2-4,25,140,fixed,wall,0,1,train,,NaN,0,NaN,NaN,0.00420339994372476,0.160628611798258,1,none,61,NaN
A,CDR2-4,25,140,fixed,wall,0,1,v21,,NaN,0,NaN,NaN,0.0148732350487562,0.263840326367397,1,none,61,NaN
A,CDR2-4,25,140,fixed,wall,0,0.5,train,,NaN,0,NaN,NaN,0.0163001664535371,0.237540671271316,1,none,61,NaN
A,CDR2-4,25,140,fixed,wall,0,0.5,v21,,NaN,0,NaN,NaN,0.0370208101012583,0.323150102344456,1,none,61,NaN
A,CDR2-4,25,140,fixed,wall,1,1,train,,NaN,1,23,3.08,0.0561321975118171,0.571861091839295,0,ep>0.5m,26,NaN
A,CDR2-4,25,140,fixed,wall,1,1,v21,,NaN,0,NaN,NaN,0.0180141698419009,0.251231174136602,1,none,61,NaN
A,CDR2-4,25,140,fixed,wall,1,0.5,train,,NaN,1,61,8.4,0.0434950230219239,0.418430809029275,1,none,61,NaN
A,CDR2-4,25,140,fixed,wall,1,0.5,v21,,NaN,1,46,6.3,0.090954379183424,0.46324756012513,1,none,61,NaN
A,CDR2-4,25,140,fixed,sample,0,1,train,,NaN,0,NaN,NaN,0.0170601385884855,0.151453067417286,1,none,61,NaN
A,CDR2-4,25,140,fixed,sample,0,1,v21,,NaN,0,NaN,NaN,0.019844014262006,0.190239312917544,1,none,61,NaN
A,CDR2-4,25,140,fixed,sample,0,0.5,train,,NaN,0,NaN,NaN,0.0186227209019376,0.166380951208372,1,none,61,NaN
A,CDR2-4,25,140,fixed,sample,0,0.5,v21,,NaN,0,NaN,NaN,0.0201407528068112,0.197197002241766,1,none,61,NaN
A,CDR2-4,25,140,fixed,sample,1,1,train,,NaN,1,18,2.38,0.0607775488400451,0.580045505353508,0,ep>0.5m,21,NaN
A,CDR2-4,25,140,fixed,sample,1,1,v21,,NaN,1,33,4.48,0.0475206108367391,0.560446563297074,0,ep>0.5m,37,NaN
A,CDR2-4,25,140,fixed,sample,1,0.5,train,,NaN,1,30,4.06,0.0573919982942754,0.530109509312263,0,ep>0.5m,34,NaN
A,CDR2-4,25,140,fixed,sample,1,0.5,v21,,NaN,0,NaN,NaN,0.0239320771061174,0.387482231341301,1,none,61,NaN
