part,agent,train_ms,step_ms,base,ref,obs_v21,scale,slew,hwrun,hw_steps,ood04,ood04_step,ood04_t,mse_ee,max_ee,completed,stop_reason,n_steps,ep_step_rmsdiff_hw
E,CDR2-4,25,100,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.00721378824586098,0.17697641972868,1,none,86,NaN
E,CDR2-4,25,125,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.0130691382774197,0.251893610009883,1,none,69,NaN
E,CDR2-4,25,140,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.0148732350487562,0.263840326367397,1,none,61,NaN
E,CDR2-4,25,175,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.0192147132333442,0.264249575566073,0,unknown,49,NaN
E,PPO_base,25,100,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.00274344074943389,0.0788726985037991,1,none,86,NaN
E,PPO_base,25,125,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.00511903997104551,0.107236963683071,1,none,69,NaN
E,PPO_base,25,140,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.00695141613574034,0.125541081563532,1,none,61,NaN
E,PPO_base,25,175,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.0127979145051363,0.169872024960876,0,unknown,49,NaN
E,ppo_10hz,100,100,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.00297551202763213,0.163128413006163,1,none,86,NaN
E,ppo_10hz,100,125,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.00303740777447648,0.162252840423762,1,none,69,NaN
E,ppo_10hz,100,140,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.00310195147428351,0.161377720695481,1,none,61,NaN
E,ppo_10hz,100,175,fixed,wall,0,1,v24,,NaN,0,NaN,NaN,0.00335234608155321,0.158758999472326,0,unknown,49,NaN
