set,start,level_m,agent,model,base_mass,noise,explore,seed,d0,final_err,min_err,t_end,converged,failed,success50,settle_t,frac_softzone_J2,frac_softzone_J4,frac_softzone_J6,qmax_deg_J2,qmax_deg_J4,qmax_deg_J6,frac_atlim,frac_beyond_hw,ori_max,ret
fixed1_free65,S00,NaN,fixed1,SK_point,65,0,0,0,0.20360400420598,0.0245193851982108,0.0226306624717738,25,0,0,1,13.08,0,0,0.575539568345324,27.9407741339188,130,115.164516821295,0.495603517186251,0,0.0245311374277325,210.634435236755
rand2_free65,S00,NaN,rand2,SK_point,65,0,0,0,0.20360400420598,0.0707128877675331,0.0627419895111935,25,0,0,0,NaN,0,0,0,18.2606650874768,130,56.5214911721333,0.193445243804956,0,0.0142536602742225,-527.935997160508
fixed1_free65,S01,0.1,fixed1,SK_point,65,0,0,0,0.115013021741164,0.0194859614852456,0.0194859614852456,4.6,1,0,1,2.12,0,0,0,8.96008733007097,126.99,68.2167513171846,0,0,0.00870057291024393,3014.29441390455
rand2_free65,S01,0.1,rand2,SK_point,65,0,0,0,0.115013021741164,0.0577624834494165,0.0478626426922048,25,0,0,0,NaN,0,0,0,19.7716342871882,126.99,57.38,0.294164668265388,0,0.0219637668013284,-449.249481165052
fixed1_free65,S02,0.1,fixed1,SK_point,65,0,0,0,0.102151533089852,0.0192965412674593,0.0192965412674593,3.9,1,0,1,1.86,0,0,0,10.3520399605256,119.85,61.9635482565931,0,0,0.0244783835608191,2987.75958522145
rand2_free65,S02,0.1,rand2,SK_point,65,0,0,0,0.102151533089852,0.0480340673892481,0.0285741860583743,25,0,0,1,14.86,0,0,0,21.3887020664844,119.85,54.64,0.375699440447642,0,0.0368609112088348,-327.156413918786
fixed1_free65,S03,0.2,fixed1,SK_point,65,0,0,0,0.191974081337423,0.018761902203446,0.018761902203446,4.3,1,0,1,2.5,0,0,0,16.68,115.63,63.412543456599,0,0,0.0164609386505183,2934.87854267603
rand2_free65,S03,0.2,rand2,SK_point,65,0,0,0,0.191974081337423,0.0745297534855702,0.0688159886902857,25,0,0,0,NaN,0,0,0,18.201038810501,115.63,45.7799842772077,0.283772981614708,0,0.0121901656848808,-581.819398019981
fixed1_free65,S04,0.2,fixed1,SK_point,65,0,0,0,0.223361666563653,0.0223647036521111,0.0220050192049272,25,0,0,1,3.86,0,0,0.570743405275779,25.3896918746947,110.59,115.164516821295,0.49480415667466,0,0.0355285507302365,-130.559349808564
rand2_free65,S04,0.2,rand2,SK_point,65,0,0,0,0.223361666563653,0.0794430508777112,0.079309073281163,25,0,0,0,NaN,0,0,0,19.51,110.59,41.81,0.312549960031974,0,0.0342061453568216,-1320.31410668495
fixed1_free65,S05,0.35,fixed1,SK_point,65,0,0,0,0.352958034212303,0.0180803456342028,0.0180803456342028,4.9,1,0,1,3.66,0,0,0,35.12,111.761582508935,73.8491971018004,0,0,0.0498523330612223,2612.42857663502
rand2_free65,S05,0.35,rand2,SK_point,65,0,0,0,0.352958034212303,0.103911223621402,0.0853779405023636,25,0,0,0,NaN,0,0,0,35.12,109.01,52.5469518379671,0.0255795363709033,0,0.0470279439600927,-1694.66804126066
fixed1_free65,S06,0.35,fixed1,SK_point,65,0,0,0,0.340049671453847,0.0352650342671393,0.0246571912412501,25,0,0,1,20.16,0,0,0.398880895283773,35.9195581256565,119.19,115.164516821295,0.313349320543565,0,0.0846665867482239,-770.816482151797
rand2_free65,S06,0.35,rand2,SK_point,65,0,0,0,0.340049671453847,0.0376125639448891,0.0329654813376669,25,0,0,1,12.52,0,0,0,23.7943393333124,119.19,31.13,0.554756195043965,0,0.0661884040384407,-795.917027177925
fixed1_free65,S07,0.5,fixed1,SK_point,65,0,0,0,0.506770613211831,0.0288649487168037,0.00205864029576449,25,0,0,1,15.72,0,0,0.53796962430056,30.28,109.766663384875,115.164516821295,0.446043165467626,0,0.0612757567799383,-620.726957680072
rand2_free65,S07,0.5,rand2,SK_point,65,0,0,0,0.506770613211831,0.0722755070884258,0.0581457469562043,25,0,0,0,NaN,0,0,0,30.28,105.84,47.7547694252527,0.209432454036771,0,0.0665450980218054,-1628.83807698285
fixed1_free65,S08,0.5,fixed1,SK_point,65,0,0,0,0.479926924561044,0.0171108897980097,0.00517235918607392,25,0,0,1,8.24,0,0,0.744204636290967,31.85,120.26,115.164516821295,0.6810551558753,0,0.0754859227433839,110.572134243
rand2_free65,S08,0.5,rand2,SK_point,65,0,0,0,0.479926924561044,0.0883628034757285,0.0762000739485414,25,0,0,0,NaN,0,0,0,32.3739656105125,120.26,64.3625788165751,0.00639488409272582,0,0.0705882457962481,-1794.34209703051
fixed1_free65,S09,0.7,fixed1,SK_point,65,0,0,0,0.684969470110724,0.0157174787953441,0.000682939288270545,25,0,0,1,7.3,0,0,0.796962430055955,56.23,127.26,115.164516821295,0.754596322941647,0,0.0969945675701238,-363.543090226214
rand2_free65,S09,0.7,rand2,SK_point,65,0,0,0,0.684969470110724,0.0993025012938731,0.0830842449944749,25,0,0,0,NaN,0,0,0,56.23,127.26,64.8754891649138,0,0,0.0936756826462531,-2144.83695893756
fixed1_free65,S10,0.7,fixed1,SK_point,65,0,0,0,0.682487871597604,0.0282035535687568,0.0282035535687568,25,0,0,1,12.88,0,0,0.673860911270983,38.42,116.13,115.164516821295,0.588329336530775,0,0.0907834982513505,-1123.19944925327
rand2_free65,S10,0.7,rand2,SK_point,65,0,0,0,0.682487871597604,0.0525464504192501,0.0245254736549613,25,0,0,0,NaN,0,0,0,38.42,116.13,70.4676416056352,0.0647482014388489,0,0.109709734163634,-1597.88054990693
fixed1_free65,S11,0.9,fixed1,SK_point,65,0,0,0,0.890442425466246,0.0892242468006295,0.0162672653963971,25,0,0,0,NaN,0,0,0.550759392486011,57.6017667712971,78.76,115.164516821295,0.510791366906475,0,0.214761220928803,-2989.80731174358
rand2_free65,S11,0.9,rand2,SK_point,65,0,0,0,0.890442425466246,0.0634249647929294,0.0260316802055532,25,0,0,0,NaN,0,0,0,45.23,78.76,55.74,0.5603517186251,0,0.20619661327602,-3001.44718028942
fixed1_free65,S12,0.9,fixed1,SK_point,65,0,0,0,0.918717223021182,0.0338930069092872,0.0280729698251663,25,0,0,1,7.42,0,0,0.805755395683453,63.57,86.3439353631722,115.164516821295,0.759392486011191,0,0.179580394075318,-1983.12475647804
