cond,seed,agent,explore,K1_mse,K2_max,K3_ori_mean,K7_return,completed,stop_reason
mass25,0,Optimized,0,0.00510702717182164,0.200120933217745,0.0121476652771256,1238.01843851479,1,none
mass25,1,Optimized,1,0.00564186406464074,0.207438389851124,0.0113768404503711,1232.09506569634,1,none
mass25,2,Optimized,1,0.00540029097016492,0.20426814400258,0.0120118776020876,1148.12936785069,1,none
mass25,3,Optimized,1,0.00544000592652584,0.206590500978317,0.0118114350590177,1155.28352072489,1,none
mass25,4,Optimized,1,0.00546982562062428,0.206182312143325,0.0118810102760478,1212.7020554212,1,none
mass25,5,Optimized,1,0.00553865112415538,0.206217599869278,0.0108339572680124,1199.11495946654,1,none
mass25,6,Optimized,1,0.00573317832440116,0.20905083255926,0.011574860677967,1227.79328565913,1,none
mass25,7,Optimized,1,0.00531601153539038,0.202817265035093,0.012509781941465,1116.74325361095,1,none
mass25,8,Optimized,1,0.00566242084169593,0.208865466520922,0.0110689027549941,1254.24017962663,1,none
mass25,9,Optimized,1,0.00524865964087352,0.204008892946761,0.0121305315832872,1176.18758825213,1,none
mass25,10,Optimized,1,0.00512217191538421,0.202131333531974,0.0128360841402181,1141.71372373784,1,none
combined,0,Optimized,0,0.00514945766311561,0.200628047817073,0.0122273761644178,1164.57349011924,1,none
combined,1,Optimized,1,0.00578271940999512,0.21007536059523,0.0112953777582651,1066.27360480636,1,none
combined,2,Optimized,1,0.00547226811642375,0.204772352692958,0.011927605634854,1049.59577575859,1,none
combined,3,Optimized,1,0.00554149987136924,0.207506727762066,0.0117122299600258,1034.32835408324,1,none
combined,4,Optimized,1,0.00566547827174597,0.207583129757671,0.011487510899123,1074.52191817889,1,none
combined,5,Optimized,1,0.00567933250411516,0.208205525936944,0.0105075000030913,1032.63088330426,1,none
combined,6,Optimized,1,0.00580800128466794,0.210058923051883,0.0115415145103839,1073.52249677331,1,none
combined,7,Optimized,1,0.00537708947722575,0.20359994628253,0.0124845617751315,1003.15853512954,1,none
combined,8,Optimized,1,0.00573077680542486,0.209659673135227,0.0111244520141921,1191.80941125472,1,none
combined,9,Optimized,1,0.00535709663272373,0.20477524230426,0.0120264706478832,1050.95522786763,1,none
combined,10,Optimized,1,0.00520104562382656,0.203025946576575,0.0127160042236187,1078.94194248349,1,none
mass25,0,Trajectory,0,0.00758231892665559,0.234587516226336,0.00584306504028621,1339.78150997414,1,none
mass25,1,Trajectory,1,0.00761977009363707,0.235170608694207,0.00591537521802081,1322.00079482983,1,none
mass25,2,Trajectory,1,0.00758261331031835,0.234832709968911,0.00597811093560703,1330.99824009328,1,none
