agent,cond,det_K1,det_K2,det_K3,det_K7,det_completed,sto_K1,sto_K1_std,sto_K2,sto_K3,sto_K7,sto_completion
Optimized,nominal,0.00357216047671168,0.176134283029457,0.00768577649445755,1593.08362366292,1,0.00392563741509008,0.000211824810834418,0.182816237029404,0.00747717218394191,1536.99771968953,1
Optimized,mirrored,0.065788574938367,0.33294706317603,0.0121692080767822,279.714083108221,1,0.0694110104182569,0.00160228420067531,0.344350846853961,0.0115138636797362,207.39749396788,1
Optimized,mass25,0.00510702717182164,0.200120933217745,0.0121476652771256,1238.01843851479,1,0.00545730799638564,0.000193900139450292,0.205757073743863,0.0118035281753468,1186.40030000464,1
Optimized,delay2,0.00361802923531107,0.176878890047172,0.00767648737286089,1564.53169281672,1,0.00407095788298556,0.000249439444595077,0.184726630571048,0.00734250086982407,1438.32712433592,1
Optimized,damp2,0.00357216047671168,0.176134283029457,0.00768577649445755,1593.08362366292,1,0.00392563741509008,0.000211824810834418,0.182816237029404,0.00747717218394191,1536.99771968953,1
Optimized,combined,0.00514945766311561,0.200628047817073,0.0122273761644178,1164.57349011924,1,0.00556153079975181,0.000204702816310651,0.206926282809534,0.0116823227426569,1065.573814964,1
Trajectory,nominal,0.00680629580316678,0.227700057862863,0.00419558657068953,1440.247836888,1,0.00679839980732827,2.84741941247083e-05,0.227763965558869,0.00421734734512997,1440.7423259202,1
Trajectory,mirrored,0.0808951336058315,0.370105886935521,0.00902655060003501,189.409392538206,1,0.0808014520027234,0.0002834996633366,0.37006279555966,0.00902489782094221,185.214635850103,1
Trajectory,mass25,0.00758231892665559,0.234587516226336,0.00584306504028621,1339.78150997414,1,0.00759075179076398,1.91110149665393e-05,0.234770794414881,0.00588676297064259,1331.73025794737,1
Trajectory,delay2,0.00680058634158909,0.227831749625506,0.00434748930845275,1398.09114530043,1,0.00680206733139923,2.61455234775681e-05,0.227913566792999,0.0043553600057678,1387.56256593564,1
Trajectory,damp2,0.00680629580316678,0.227700057862863,0.00419558657068953,1440.247836888,1,0.00679839980732827,2.84741941247083e-05,0.227763965558869,0.00421734734512997,1440.7423259202,1
Trajectory,combined,0.00760555947172482,0.234904749497459,0.00615243639975293,1300.47549520995,1,0.00761561738242073,1.83887087792048e-05,0.235056698996032,0.00618693095471628,1281.17369984264,1
Trajectory2,nominal,0.00305321517519549,0.158242821868592,0.0104659846764615,1393.3362752341,1,0.00302163755233611,6.10811241924912e-05,0.156706124683988,0.0104950242470777,1387.38539389149,1
Trajectory2,mirrored,0.0351063803822661,0.25930221581276,0.0298182935208053,-93.5564142674105,1,0.0353527879219288,0.000485339627558377,0.260200185226429,0.0296760717879031,-96.5467618645861,1
Trajectory2,mass25,0.00471980894448015,0.185979037295229,0.0181775453439668,999.377057166503,1,0.0047422104040754,7.63464705363704e-05,0.185310157857796,0.0182169810012019,954.958791471942,1
Trajectory2,delay2,0.00308866359930361,0.15729018216863,0.0105091493953167,1279.51862206376,1,0.0030791963798509,6.54423280773602e-05,0.155937200806171,0.0105293891266922,1198.10892837298,1
Trajectory2,damp2,0.00305321517519549,0.158242821868592,0.0104659846764615,1393.3362752341,1,0.00302163755233611,6.10811241924912e-05,0.156706124683988,0.0104950242470777,1387.38539389149,1
Trajectory2,combined,0.00478971358455858,0.186369034595626,0.0182141729100841,818.646161825993,1,0.00481702179205703,7.93265926520813e-05,0.185594229957821,0.0182770250971018,736.299220510962,1
Mass_inertia,nominal,0.00343982174006724,0.162381360360088,0.00616001218148947,1543.62272900124,1,0.0035363507883681,0.000117285278626021,0.164008703824156,0.00610356601020559,1464.24586273417,1
Mass_inertia,mirrored,0.0507403692883614,0.288978509077901,0.0200683445692336,-120.032506380867,1,0.0525730648469084,0.00127551478700865,0.294861510459608,0.0194303230755614,-163.475038597004,1
Mass_inertia,mass25,0.00472724983124514,0.187463509360232,0.00996137960915387,1391.31837678199,1,0.00483206301370012,0.000122900416172311,0.188744178079947,0.00991581957540402,1282.38365861114,1
Mass_inertia,delay2,0.00353480019581714,0.164109741295853,0.00622826559665195,1512.78062645034,1,0.003634632685606,0.000121215307488261,0.165568660458652,0.00617590096087788,1399.64604123072,1
Mass_inertia,damp2,0.00343982174006724,0.162381360360088,0.00616001218148947,1543.62272900124,1,0.0035363507883681,0.000117285278626021,0.164008703824156,0.00610356601020559,1464.24586273417,1
Mass_inertia,combined,0.00480780625488011,0.188589495948943,0.010133468193131,1320.69636066109,1,0.00491512306944235,0.000128393297150606,0.189785715386421,0.0101440165253983,1128.29961036502,1
Actuator_delay,nominal,0.00604883202272139,0.213296129396987,0.00450156533064511,1359.90825943441,1,0.0075642889075958,0.00119585308534673,0.232627175552088,0.00476866045520979,1121.25284414658,1
Actuator_delay,mirrored,0.0738195205424555,0.346039890258627,0.0114652831967296,214.875318067045,1,0.0760124378204271,0.00441963855681874,0.359522977219781,0.0107279669929555,-53.0812600911889,1
Actuator_delay,mass25,0.00724338121673537,0.228035861315545,0.00729439577452435,1385.45657945912,1,0.0084399889779965,0.000835531658761037,0.243644740742969,0.00843384875879314,1061.07427395388,1
Actuator_delay,delay2,0.00602785837408377,0.212990111206892,0.00469492674510874,1432.02495818409,1,0.00764748155853311,0.00123559943718607,0.232505141725794,0.00503535612251806,1069.72310391395,1
Actuator_delay,damp2,0.00604883202272139,0.213296129396987,0.00450156533064511,1359.90825943441,1,0.0075642889075958,0.00119585308534673,0.232627175552088,0.00476866045520979,1121.25284414658,1
Actuator_delay,combined,0.00721385642162924,0.2277360041342,0.00763806337945742,1387.61256552833,1,0.00845961939024158,0.000844240446273584,0.243284028005062,0.00891346523249082,996.99217112023,1
Friction,nominal,0.00360884521044107,0.170220769361801,0.0070143003482561,1534.72614392174,1,0.00390658627636706,0.000415739666048906,0.174218380339487,0.00682937304798315,1395.59858590932,1
Friction,mirrored,0.0581755182351276,0.311314359633824,0.0149396395287454,134.033065480865,1,0.0600755525521065,0.00205441654335738,0.31755062176476,0.0148600502282545,58.1504056640997,1
Friction,mass25,0.00525995603853979,0.195828934883071,0.0115670065594305,1267.85119803491,1,0.00554457127057305,0.000422019980167348,0.19891263547323,0.0113267600839486,1048.29551204683,1
Friction,delay2,0.00367723502483153,0.171551624788544,0.00695627583628597,1451.39020172,1,0.00400881862779644,0.000422406425786335,0.175131338457975,0.00676335729382877,1266.7730631309,1
