set,agent,seed,base_mass,delay_steps,stop_reason,t_end,n_steps,max_ee,rew_step_median,rew_step_min,sim_error
cdr_p4,CDR2-4,4,32.5,3,none,8.5,341,0.191026631158268,3.69532946301522,-0.761352357769206,
cdr_p4,CDR2-4,5,32.5,1,none,8.5,341,0.196317280034811,3.80261982980014,-0.73518555155419,
cdr_p4,CDR2-4,21,32.5,1,none,8.5,341,0.185877010206852,3.88286405389788,-0.568576833974885,
cdr_p4,CDR2-4,30,32.5,1,none,8.5,341,0.190347176483309,3.93207504528287,0.929087103822892,
cdr_p4,CDR2-4,33,32.5,3,none,8.5,341,0.187189984722831,3.82562595661571,-0.536906739644404,
cdr_p4,CDR2-4,48,32.5,3,none,8.5,341,0.196261607004114,3.89261769378674,-0.540001756032466,
cdr_p4,CDR2-4,57,32.5,1,none,8.5,341,0.190789841542576,5.51712809337068,-0.253051924106752,
cdr_p4,CDR2-4,64,32.5,1,none,8.5,341,0.187861297822498,5.62059581186651,-0.547803167815454,
cdr_p4,CDR2-4,71,32.5,3,none,8.5,341,0.192666222445317,3.81118363190292,-0.578166755672607,
cdr_p4,CDR2-4,73,32.5,1,none,8.5,341,0.18506275037916,3.94045570166243,0.844274150514885,
cdr_p4,CDR2-4,75,32.5,1,none,8.5,341,0.188811172195054,3.75649851677768,-0.313598433817487,
cdr_p4,CDR2-4,77,32.5,2,none,8.5,341,0.189907028119881,3.86435037038433,-0.313281319847303,
cdr_p4,CDR2-4,79,32.5,3,none,8.5,341,0.19395260059573,3.82856801376703,0.599408618938469,
cdr_p4,CDR2-4,80,32.5,3,none,8.5,341,0.189621070684807,3.78631566935956,-0.517752223967171,
cdr_p4,CDR2-4,82,32.5,1,none,8.5,341,0.191835253981929,3.87454208341247,-0.370635417447269,
cdr_p4,CDR2-4,91,32.5,2,none,8.5,341,0.193192378034331,3.81947665251145,-0.813800347616095,
cdr_p4,CDR2-4,93,32.5,1,none,8.5,341,0.190029428912719,3.8295412436478,0.699446990001302,
cdr_p4,CDR2-4,100,32.5,3,none,8.5,341,0.182077979725684,3.71377908110802,-0.642281182045705,
cdr_p4,CDR2-4,74,34.8297567637265,2,none,8.5,341,0.186568824808941,3.82960528753133,0.759650830548614,
cdr_p4,CDR2-4,52,35.8348851094645,1,none,8.5,341,0.190831810149772,5.61873066766153,0.660098138728261,
