noise,level,seed,agent,mse_ee,rms_ee,max_ee,completed,ood04,stop_reason
none,0,0,CDR2-4,0.00346982044397274,0.0589051818091816,0.173520615807369,1,0,none
all,1,1,CDR2-4,0.00350063856860681,0.0591661944746053,0.173571185270887,1,0,none
all,1,2,CDR2-4,0.00354898081690203,0.0595733230305481,0.174596151057442,1,0,none
all,1,3,CDR2-4,0.00343423207621363,0.0586023214234183,0.172928262101548,1,0,none
all,1,4,CDR2-4,0.0035147107771954,0.0592849962232891,0.173817573277238,1,0,none
all,1,5,CDR2-4,0.00346427919108061,0.0588581276552407,0.173146472018942,1,0,none
all,1,6,CDR2-4,0.00341007866620245,0.0583958788460491,0.172473270023288,1,0,none
all,1,7,CDR2-4,0.00343221541515403,0.0585851125726838,0.172945322499683,1,0,none
all,1,8,CDR2-4,0.00349134640209007,0.0590876163175506,0.174105243993103,1,0,none
all,1,9,CDR2-4,0.0034440689307865,0.0586861902902762,0.173710130931049,1,0,none
all,1,10,CDR2-4,0.00350733958340831,0.0592227961464866,0.17353422213768,1,0,none
all,2,1,CDR2-4,0.00355188982528525,0.0595977333905011,0.173868016668026,1,0,none
all,2,2,CDR2-4,0.00365116503771252,0.0604248710194115,0.175956333573725,1,0,none
all,2,3,CDR2-4,0.0034191089559937,0.0584731473070648,0.17258304075891,1,0,none
all,2,4,CDR2-4,0.00357902448271698,0.0598249486645579,0.174347198909256,1,0,none
all,2,5,CDR2-4,0.00347625489706633,0.058959773549992,0.17298027791982,1,0,none
all,2,6,CDR2-4,0.00336790985186133,0.0580336958314851,0.171642460112081,1,0,none
all,2,7,CDR2-4,0.00341549626815125,0.0584422472886802,0.17261746606384,1,0,none
all,2,8,CDR2-4,0.00353545599766498,0.0594597006186962,0.174962418808179,1,0,none
all,2,9,CDR2-4,0.00343879102324177,0.0586412058474395,0.174116970652486,1,0,none
all,2,10,CDR2-4,0.00356913354232738,0.0597422257898664,0.17383992814794,1,0,none
all,5,1,CDR2-4,0.00380770827306204,0.0617066307058005,0.176005600879837,1,0,none
all,5,2,CDR2-4,0.00407883754104434,0.0638657775420009,0.181413792668743,1,0,none
all,5,3,CDR2-4,0.00346587530088572,0.0588716850522025,0.172595586131644,1,0,none
all,5,4,CDR2-4,0.00386861876372553,0.0621982215479312,0.177099975247289,1,0,none
all,5,5,CDR2-4,0.0036032140697862,0.0600267779394014,0.173631532591448,1,0,none
all,5,6,CDR2-4,0.00331571881404225,0.0575822786457973,0.170170340528825,1,0,none
all,5,7,CDR2-4,0.00344318596400562,0.0586786670264895,0.172704187717865,1,0,none
all,5,8,CDR2-4,0.00377296700613308,0.0614244821397224,0.178784576148919,1,0,none
all,5,9,CDR2-4,0.00350323988855438,0.059188173553121,0.176276546962507,1,0,none
all,5,10,CDR2-4,0.00385686642319541,0.0621036747962261,0.176089177913111,1,0,none
all,10,1,CDR2-4,0.00457605013023497,0.0676465086330032,0.183020356808135,1,0,none
all,10,2,CDR2-4,0.00513172007345541,0.0716360249696716,0.193256637316314,1,0,none
all,10,3,CDR2-4,0.00374985060591142,0.0612360237598051,0.174114706610648,1,0,none
all,10,4,CDR2-4,0.00456975466855054,0.0675999605661907,0.183910281027471,1,0,none
all,10,5,CDR2-4,0.00399993307510383,0.0632450241133943,0.177437099880132,1,0,none
all,10,6,CDR2-4,0.00347750737092146,0.0589703940204019,0.16996629608185,1,0,none
all,10,7,CDR2-4,0.00373096477384831,0.0610816238638784,0.175477900149453,1,0,none
all,10,8,CDR2-4,0.00447578230892332,0.0669012877971965,0.187692469908398,1,0,none
all,10,9,CDR2-4,0.00377270792072225,0.0614223731283826,0.180956807205708,1,0,none
all,10,10,CDR2-4,0.00466917887380212,0.0683313901058812,0.183696388169397,1,0,none
ep,5,1,CDR2-4,0.00348603721711498,0.0590426728486692,0.174058482737342,1,0,none
ep,5,2,CDR2-4,0.00347240196805975,0.0589270902731481,0.173497015645413,1,0,none
ep,5,3,CDR2-4,0.0034782117635398,0.0589763661439038,0.173717820901741,1,0,none
ep,5,4,CDR2-4,0.00348488062470054,0.0590328774895866,0.173662053702291,1,0,none
ep,5,5,CDR2-4,0.00348253073877365,0.0590129709366818,0.173501063090992,1,0,none
ep,5,6,CDR2-4,0.00345620745120595,0.0587895182086565,0.173445499768186,1,0,none
ep,5,7,CDR2-4,0.00346968574060549,0.0589040384065939,0.173524756801388,1,0,none
ep,5,8,CDR2-4,0.00349332589466118,0.0591043644298895,0.174021205045614,1,0,none
ep,5,9,CDR2-4,0.00346853907041639,0.0588943042272883,0.17392981517302,1,0,none
ep,5,10,CDR2-4,0.00346344876485636,0.0588510727587557,0.173207890769814,1,0,none
ev,5,1,CDR2-4,0.00375240891728937,0.0612569091392095,0.175907587300282,1,0,none
ev,5,2,CDR2-4,0.00376207576414489,0.0613357625219162,0.178269976903792,1,0,none
ev,5,3,CDR2-4,0.00338401145744112,0.0581722567676476,0.173498118109567,1,0,none
ev,5,4,CDR2-4,0.00359742835927152,0.0599785658320664,0.174040700360129,1,0,none
ev,5,5,CDR2-4,0.00366531383274896,0.0605418353929657,0.174734292276376,1,0,none
ev,5,6,CDR2-4,0.00353325294192417,0.0594411721109549,0.17589274209426,1,0,none
ev,5,7,CDR2-4,0.00340841077561544,0.0583815962064711,0.17339368569077,1,0,none
ev,5,8,CDR2-4,0.00352835425654692,0.0593999516544157,0.173830670048905,1,0,none
ev,5,9,CDR2-4,0.00359675549068478,0.0599729563277047,0.178877024900891,1,0,none
ev,5,10,CDR2-4,0.0039456910718363,0.0628147361041683,0.179793759606962,1,0,none
base,5,1,CDR2-4,0.00343766258611877,0.0586315835204778,0.172622323590922,1,0,none
base,5,2,CDR2-4,0.00350322762644477,0.059188069967222,0.173576695703795,1,0,none
base,5,3,CDR2-4,0.00347496915391684,0.0589488689791148,0.173556520084327,1,0,none
base,5,4,CDR2-4,0.0035537298732279,0.0596131686226114,0.175036198958025,1,0,none
base,5,5,CDR2-4,0.00345946020943343,0.0588171761429723,0.17349969211171,1,0,none
base,5,6,CDR2-4,0.00345276524786103,0.0587602352604296,0.171926234561729,1,0,none
base,5,7,CDR2-4,0.0035572451297948,0.0596426452280145,0.173894359135651,1,0,none
base,5,8,CDR2-4,0.00347138965592532,0.0589185001160529,0.17336214343059,1,0,none
base,5,9,CDR2-4,0.0035168874728354,0.0593033512782827,0.173964600137071,1,0,none
base,5,10,CDR2-4,0.00337027782014296,0.0580540939137195,0.172225849758635,1,0,none
q,5,1,CDR2-4,0.00348254906518883,0.0590131262109442,0.17373277796747,1,0,none
q,5,2,CDR2-4,0.00349404550582386,0.0591104517477566,0.173821461291339,1,0,none
q,5,3,CDR2-4,0.00345852967410125,0.0588092652062688,0.173212350909784,1,0,none
q,5,4,CDR2-4,0.00345810022703877,0.0588056139075069,0.173215208417601,1,0,none
q,5,5,CDR2-4,0.0034529139041756,0.0587615001865643,0.173255429206251,1,0,none
q,5,6,CDR2-4,0.00347379104634242,0.0589388755096533,0.173530733534054,1,0,none
q,5,7,CDR2-4,0.00346953346005466,0.0589027457768707,0.173625310479323,1,0,none
q,5,8,CDR2-4,0.0034601043860041,0.0588226519803732,0.173224642431028,1,0,none
q,5,9,CDR2-4,0.00346782625172049,0.0588882522386299,0.173472406346413,1,0,none
q,5,10,CDR2-4,0.00348849025370052,0.0590634426163978,0.173826639088671,1,0,none
dq,5,1,CDR2-4,0.00353780064659666,0.0594794136369606,0.173668612821326,1,0,none
dq,5,2,CDR2-4,0.00371049304634056,0.0609138165471559,0.17608886862979,1,0,none
dq,5,3,CDR2-4,0.00355553791906721,0.0596283315133604,0.172490130122156,1,0,none
dq,5,4,CDR2-4,0.00364533514922325,0.0603766109451603,0.175170838861447,1,0,none
dq,5,5,CDR2-4,0.00343808850794981,0.0586352155956624,0.172861776601232,1,0,none
dq,5,6,CDR2-4,0.00330766877250454,0.0575123358289727,0.169643916023528,1,0,none
dq,5,7,CDR2-4,0.00342381751314653,0.0585133960144729,0.172323197795239,1,0,none
dq,5,8,CDR2-4,0.00372487525608149,0.0610317561281132,0.178648487373454,1,0,none
dq,5,9,CDR2-4,0.00333399759423656,0.0577407793005651,0.170096576237534,1,0,none
dq,5,10,CDR2-4,0.00347965450400652,0.058988596389527,0.171025589170709,1,0,none
none,0,0,ppo_10hz,0.00438438764349235,0.0662147086642564,0.190026534260763,1,0,none
all,1,1,ppo_10hz,0.00451541234283109,0.067196817951679,0.189864075126841,1,0,none
all,1,2,ppo_10hz,0.00435271508926624,0.065975109619206,0.190050679637574,1,0,none
all,1,3,ppo_10hz,0.0044833205342482,0.066957602512696,0.191054722991756,1,0,none
all,1,4,ppo_10hz,0.0043179960847249,0.0657114608323761,0.187547063647191,1,0,none
all,1,5,ppo_10hz,0.00424177862421828,0.0651289384545632,0.18798496564335,1,0,none
all,1,6,ppo_10hz,0.00442584269741522,0.0665270072783619,0.192349190679609,1,0,none
all,1,7,ppo_10hz,0.00432786001790537,0.0657864729097508,0.190390074253377,1,0,none
all,1,8,ppo_10hz,0.00438811209000754,0.0662428267060483,0.190072653543161,1,0,none
all,1,9,ppo_10hz,0.00437461345750157,0.0661408607254364,0.189436099945784,1,0,none
all,1,10,ppo_10hz,0.00423429873599521,0.0650714894250563,0.187060511601776,1,0,none
all,2,1,ppo_10hz,0.00467076783476726,0.068343015991155,0.189644152861285,1,0,none
all,2,2,ppo_10hz,0.00433462805243357,0.0658378922235028,0.189748239482364,1,0,none
all,2,3,ppo_10hz,0.00459805869447754,0.067808986826803,0.191999143177492,1,0,none
all,2,4,ppo_10hz,0.00425824391553554,0.0652552213660757,0.184728845168853,1,0,none
all,2,5,ppo_10hz,0.00410247682667287,0.0640505802212039,0.185701940334994,1,0,none
all,2,6,ppo_10hz,0.00446940057267712,0.066853575616246,0.194430424136451,1,0,none
all,2,7,ppo_10hz,0.00427030701300225,0.0653475861298812,0.19055541294995,1,0,none
all,2,8,ppo_10hz,0.00439795831719278,0.0663171042581986,0.189838095380507,1,0,none
all,2,9,ppo_10hz,0.00436449594328313,0.0660643318537555,0.188567791244828,1,0,none
all,2,10,ppo_10hz,0.00409785337810273,0.0640144778788574,0.184001137292921,1,0,none
all,5,1,ppo_10hz,0.00528503703261857,0.0726982601760081,0.188772529026923,1,0,none
all,5,2,ppo_10hz,0.0044343391296535,0.0665908336759159,0.188007033253241,1,0,none
all,5,3,ppo_10hz,0.00508712319097738,0.0713240716096423,0.195210630228387,1,0,none
all,5,4,ppo_10hz,0.00418187849408609,0.0646674453963205,0.175329523763477,1,0,none
all,5,5,ppo_10hz,0.00373462978062939,0.0611116173949716,0.177365732916295,1,0,none
all,5,6,ppo_10hz,0.00462166886283811,0.0679828571247054,0.199562106614563,1,0,none
all,5,7,ppo_10hz,0.00410869187796112,0.0640990786046189,0.190171602456216,1,0,none
all,5,8,ppo_10hz,0.00448744404286971,0.0669883873732583,0.188077629357587,1,0,none
all,5,9,ppo_10hz,0.00440581294757139,0.066376298085773,0.185455766557522,1,0,none
all,5,10,ppo_10hz,0.00382052289844152,0.0618103785657516,0.17562927078039,1,0,none
all,10,1,ppo_10hz,0.00679296681572651,0.082419456536224,0.189416146689574,1,0,none
all,10,2,ppo_10hz,0.00532629783099859,0.0729814896463383,0.185481893982178,1,0,none
all,10,3,ppo_10hz,0.00627614002921602,0.0792220930625796,0.201649022921764,1,0,none
all,10,4,ppo_10hz,0.00478399878314456,0.0691664570665909,0.163905223944991,1,0,none
all,10,5,ppo_10hz,0.00363020445282534,0.0602511780202291,0.164381016706138,1,0,none
all,10,6,ppo_10hz,0.00504594150161349,0.0710347907832035,0.20693348604006,1,0,none
all,10,7,ppo_10hz,0.003877103062417,0.062266387902439,0.188131750547176,1,0,none
all,10,8,ppo_10hz,0.00476203364028465,0.0690074897404959,0.183122184552089,1,0,none
all,10,9,ppo_10hz,0.00485094962084983,0.0696487589325885,0.182179341290692,1,0,none
all,10,10,ppo_10hz,0.00369551453296886,0.0607907438099655,0.164243065858765,1,0,none
ep,5,1,ppo_10hz,0.00438097460180872,0.0661889311124505,0.189464993100826,1,0,none
ep,5,2,ppo_10hz,0.00440813388940415,0.0663937789962595,0.189685738244985,1,0,none
ep,5,3,ppo_10hz,0.00445551125227894,0.0667496161208357,0.190224857694098,1,0,none
ep,5,4,ppo_10hz,0.00437313796482402,0.0661297056157368,0.189211742823457,1,0,none
ep,5,5,ppo_10hz,0.00441708357541598,0.0664611433502011,0.190120134537749,1,0,none
ep,5,6,ppo_10hz,0.00438634765572594,0.066229507439856,0.190160901681847,1,0,none
ep,5,7,ppo_10hz,0.00436616104018285,0.0660769327389131,0.190118977649204,1,0,none
ep,5,8,ppo_10hz,0.00433959798920591,0.0658756251522968,0.189296597877877,1,0,none
ep,5,9,ppo_10hz,0.00438881332917705,0.0662481194387965,0.189753895623479,1,0,none
ep,5,10,ppo_10hz,0.00440756596130451,0.0663895018907697,0.189723733475813,1,0,none
ev,5,1,ppo_10hz,0.00457490273763866,0.0676380273044584,0.188256490511026,1,0,none
ev,5,2,ppo_10hz,0.00442561369882042,0.0665252861611314,0.186954908030236,1,0,none
ev,5,3,ppo_10hz,0.00443572527515623,0.0666012407929179,0.1879462663012,1,0,none
ev,5,4,ppo_10hz,0.00422967236235752,0.0650359313176764,0.184318223770402,1,0,none
ev,5,5,ppo_10hz,0.00436529698380397,0.0660703941550523,0.187664930709388,1,0,none
ev,5,6,ppo_10hz,0.00466798010415792,0.0683226178081455,0.194065288413771,1,0,none
ev,5,7,ppo_10hz,0.00419644499130318,0.0647799736902014,0.18684115543419,1,0,none
ev,5,8,ppo_10hz,0.00457899524109817,0.0676682735194136,0.191850430311344,1,0,none
ev,5,9,ppo_10hz,0.00430060791991134,0.0655790204250668,0.187604634134063,1,0,none
ev,5,10,ppo_10hz,0.00427351224124477,0.0653721059875294,0.187689038394457,1,0,none
base,5,1,ppo_10hz,0.00474516268832421,0.0688851412738931,0.191372732980903,1,0,none
base,5,2,ppo_10hz,0.00413146587629654,0.0642764799619312,0.188183381993779,1,0,none
base,5,3,ppo_10hz,0.00456215969887295,0.0675437613616014,0.191017126536255,1,0,none
base,5,4,ppo_10hz,0.00428428727005373,0.0654544671512475,0.185389148920583,1,0,none
base,5,5,ppo_10hz,0.00441637274682743,0.0664557954344648,0.188770594550546,1,0,none
base,5,6,ppo_10hz,0.00441721136881631,0.066462104757646,0.192771095100566,1,0,none
base,5,7,ppo_10hz,0.00436628999267169,0.0660779085070925,0.190422612409239,1,0,none
base,5,8,ppo_10hz,0.00429446711673403,0.0655321838239352,0.186665474213982,1,0,none
base,5,9,ppo_10hz,0.00414740626941578,0.0644003592335926,0.185380291009918,1,0,none
base,5,10,ppo_10hz,0.00404889285226151,0.0636309111380743,0.18207123089018,1,0,none
q,5,1,ppo_10hz,0.0043928637609618,0.0662786825530034,0.190408924054514,1,0,none
q,5,2,ppo_10hz,0.00439868533619316,0.0663225854154764,0.190315461384954,1,0,none
q,5,3,ppo_10hz,0.0044617832214902,0.0667965809116769,0.190825815142945,1,0,none
q,5,4,ppo_10hz,0.00437066053604306,0.0661109713742209,0.190074331468817,1,0,none
q,5,5,ppo_10hz,0.00434697131983902,0.0659315654283972,0.189769055071331,1,0,none
q,5,6,ppo_10hz,0.00439009134922352,0.0662577644448069,0.189831644490034,1,0,none
q,5,7,ppo_10hz,0.00440240133307081,0.0663505940672034,0.190716062492096,1,0,none
q,5,8,ppo_10hz,0.00432724416675011,0.0657817920609503,0.189232034507025,1,0,none
q,5,9,ppo_10hz,0.00440224005601684,0.066349378716133,0.190432346634631,1,0,none
q,5,10,ppo_10hz,0.00443468870060127,0.0665934583919567,0.190644737989298,1,0,none
dq,5,1,ppo_10hz,0.00462210061732988,0.0679860325164653,0.188516520583581,1,0,none
dq,5,2,ppo_10hz,0.004524465386895,0.0672641463700759,0.193510188086713,1,0,none
dq,5,3,ppo_10hz,0.00456183069537532,0.0675413258337096,0.193065164460193,1,0,none
dq,5,4,ppo_10hz,0.00434218513775805,0.0658952588412706,0.185894545012068,1,0,none
dq,5,5,ppo_10hz,0.0037541725442105,0.0612713027787928,0.181457365011465,1,0,none
dq,5,6,ppo_10hz,0.00418419048457019,0.0646853189260917,0.191582960968219,1,0,none
dq,5,7,ppo_10hz,0.00435056930392321,0.065958845532068,0.191369138966051,1,0,none
dq,5,8,ppo_10hz,0.00457325327023009,0.0676258328616372,0.193148516317121,1,0,none
dq,5,9,ppo_10hz,0.00477828668793473,0.0691251523537904,0.192930152817847,1,0,none
dq,5,10,ppo_10hz,0.0039847932858963,0.0631252190958281,0.181556535244762,1,0,none
