agent,noise,level,n,mse_mean,mse_std,max_mean,max_max,completion,ood04_share
CDR2-4,all,1,10,0.00347478904276399,4.44710173544307e-05,0.173482783331086,0.174596151057442,1,0
CDR2-4,all,2,10,0.00350042298820215,9.02253317469448e-05,0.173691411161426,0.175956333573725,1,0
CDR2-4,all,5,10,0.00367162320444346,0.000240820815583344,0.175477131679019,0.181413792668743,1,0
CDR2-4,all,10,10,0.00421534498014736,0.000538237240021918,0.180952894315751,0.193256637316314,1,0
CDR2-4,base,5,10,0.00347976147757012,5.61713837394892e-05,0.173366461747245,0.175036198958025,1,0
CDR2-4,dq,5,10,0.00351572689091531,0.000146301572278878,0.173201799363642,0.178648487373454,1,0
CDR2-4,ep,5,10,0.00347552692339341,1.14642533682165e-05,0.17365656036358,0.174058482737342,1,0
CDR2-4,ev,5,10,0.00361737028675035,0.000171013605885194,0.175823855729193,0.179793759606962,1,0
CDR2-4,none,0,1,0.00346982044397274,0,0.173520615807369,0.173520615807369,1,0
CDR2-4,q,5,10,0.00347058837741505,1.39699625491628e-05,0.173491695967193,0.173826639088671,1,0
ppo_10hz,all,1,10,0.00436619496741136,9.24624587740532e-05,0.189581003707042,0.192349190679609,1,0
ppo_10hz,all,2,10,0.00435641905481448,0.000188747860811518,0.188921518202965,0.194430424136451,1,0
ppo_10hz,all,5,10,0.00441671482576468,0.000496832202795967,0.18635818249546,0.199562106614563,1,0
ppo_10hz,all,10,10,0.00490411502700449,0.00104479265507232,0.182944313253343,0.20693348604006,1,0
ppo_10hz,base,5,10,0.00434137158802742,0.000209888284553029,0.188204368860595,0.192771095100566,1,0
ppo_10hz,dq,5,10,0.00436758474141233,0.000315430734039267,0.189303108746802,0.193510188086713,1,0
ppo_10hz,ep,5,10,0.00439233272593281,3.17934682627003e-05,0.189776157270934,0.190224857694098,1,0
ppo_10hz,ev,5,10,0.00440487515554922,0.000161130267993373,0.188319136601008,0.194065288413771,1,0
ppo_10hz,none,0,1,0.00438438764349235,0,0.190026534260763,0.190026534260763,1,0
ppo_10hz,q,5,10,0.00439276297801898,3.89081592879343e-05,0.190225041323564,0.190825815142945,1,0
