joint,cmd_degps,duration_s,gain,t50_ms,t90_ms,lagPath_deg,ripple_degps
1,5,1.4986501,1.00980567372756,98.4739,148.7655,2.08532964705882,0.165389944550533
1,-5,1.4999663,1.00271770322085,99.7471,149.7746,2.11229152941176,0.222124292131606
2,5,1.4751066,0.997354334911116,100.6898,167.53,2.13225458823529,0.165160387705621
2,-5,1.500352,0.997460865170627,100.1211,150.0534,2.12021152941176,0.1869955957005
3,5,1.5003631,1.00016625844734,100.2834,149.8677,2.12364847058824,0.155815463662458
3,-5,1.5000673,0.998423979610954,100.2241,150.1035,2.12239270588235,0.172897169340902
4,5,1.4963644,1.00116707793013,96.414,150.2987,2.04170823529412,0.189713336656677
4,-5,1.4752868,0.997206299952448,103.9807,150.054,2.20194423529412,0.220381777328023
5,5,1.5004179,1.00144224639518,103.8173,103.8173,2.198484,0.179771771497024
5,-5,1.4748627,1.00337954381175,53.5796,101.8313,1.13462682352941,0.168723365639402
6,5,1.4501518,0.999561130935675,56.3787,100.0205,1.19390188235294,0.160531217668901
6,-5,1.5068667,0.986574508777778,55.6122,99.7579,1.17767011764706,0.257409194939559
7,5,1.5001717,1.00668936372489,58.8669,100.1731,1.24659317647059,0.297509662694447
7,-5,1.5049194,0.988583651568495,55.1468,99.9256,1.16781458823529,0.202708032605827
