key,value,unit,files,note
G1_40Hz_V21.runs,7,,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,
G1_40Hz_V21.completed,0,,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,
G1_40Hz_V21.eff_min,0.20952,,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,
G1_40Hz_V21.eff_max,0.807333,,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,
G1_40Hz_V21.steps_min,32,,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,
G1_40Hz_V21.steps_max,67,,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,
G1_40Hz_V21.rms_min,0.142532,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,all runs until the stop
G1_40Hz_V21.rms_max,0.186959,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,all runs until the stop
G1_40Hz_V21.max_min,0.367454,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,all runs until the stop
G1_40Hz_V21.max_max,0.398349,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,all runs until the stop
G1_40Hz_V21.rms_mean,0.157302,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,all runs until the stop
G1_40Hz_V21.rms_sd,0.0154281,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,all runs until the stop
G1_40Hz_V21.max_mean,0.383415,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,all runs until the stop
G1_40Hz_V21.max_sd,0.0123401,m,deploy_logs/run_008_agent_train_seed1_singular.mat;deploy_logs/run_009_agent_train_seed2_singular.mat;deploy_logs/run_010_agent_train_seed3_singular.mat;deploy_logs/run_011_agent_train_seed4_singular.mat;deploy_logs/run_012_agent_train_seed1_cdr.mat;deploy_logs/run_013_agent_train_seed2_cdr.mat;deploy_logs/run_014_agent_train_seed3_cdr.mat,all runs until the stop
G2_CDR_V22.runs,1,,deploy_logs/run_013_agent_train_seed5.mat,
G2_CDR_V22.completed,1,,deploy_logs/run_013_agent_train_seed5.mat,
G2_CDR_V22.eff_min,0.4,,deploy_logs/run_013_agent_train_seed5.mat,
G2_CDR_V22.eff_max,0.4,,deploy_logs/run_013_agent_train_seed5.mat,
G2_CDR_V22.steps_min,83,,deploy_logs/run_013_agent_train_seed5.mat,
G2_CDR_V22.steps_max,83,,deploy_logs/run_013_agent_train_seed5.mat,
G2_CDR_V22.rms_min,0.164383,m,deploy_logs/run_013_agent_train_seed5.mat,completed runs
G2_CDR_V22.rms_max,0.164383,m,deploy_logs/run_013_agent_train_seed5.mat,completed runs
G2_CDR_V22.max_min,0.297219,m,deploy_logs/run_013_agent_train_seed5.mat,completed runs
G2_CDR_V22.max_max,0.297219,m,deploy_logs/run_013_agent_train_seed5.mat,completed runs
G2_CDR_V22.loop_ms_min,103.145,ms,deploy_logs/run_013_agent_train_seed5.mat,mean loop time per run
G2_CDR_V22.loop_ms_max,103.145,ms,deploy_logs/run_013_agent_train_seed5.mat,mean loop time per run
G2_CDR_V22.eff_completed_min,0.4,,deploy_logs/run_013_agent_train_seed5.mat,
G2_CDR_V22.eff_completed_max,0.4,,deploy_logs/run_013_agent_train_seed5.mat,
