# Erzeugt von make_setpoint_starts.m am 2026-09-22 15:36:58 (Git 3ce1638). Nicht von Hand aendern.
# Ziel URDF [m]: [0.479 -0.005 1.136], Kortex-Frame (EE-Punkt): [0.479 -0.005 0.636]
id,level_m,d0_m,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,ee_urdf_x,ee_urdf_y,ee_urdf_z,ee_real_x,ee_real_y,ee_real_z,tool_pred_real_x,tool_pred_real_y,tool_pred_real_z,maxDevAnchor_deg,minHeight_m,sigmaMin
S00,NaN,0.2036,0.00,15.00,180.00,-130.00,0.00,55.00,90.00,0.4567,0.0013,0.9337,0.4567,0.0013,0.4337,0.5777,0.0013,0.4337,0.0,0.434,0.295
S01,0.10,0.1150,-6.43,5.66,182.75,-126.99,-13.76,57.38,83.08,0.4336,-0.0032,1.0303,0.4336,-0.0032,0.5303,0.5500,-0.0198,0.5590,13.8,0.491,0.290
S02,0.10,0.1021,-10.25,-4.57,197.85,-119.85,-1.70,54.64,104.06,0.3967,-0.0637,1.1506,0.3967,-0.0637,0.6506,0.5009,-0.0819,0.7094,19.6,0.569,0.276
S03,0.20,0.1920,6.74,16.68,182.41,-115.63,-17.02,44.29,95.53,0.5064,-0.1116,0.9787,0.5064,-0.1116,0.4787,0.6195,-0.1547,0.4805,17.0,0.476,0.283
S04,0.20,0.2234,-2.19,19.51,160.57,-110.59,-4.40,41.81,90.85,0.5167,0.1622,0.9927,0.5167,0.1622,0.4927,0.6321,0.1983,0.4976,19.4,0.486,0.273
S05,0.35,0.3530,2.33,35.12,196.77,-109.01,-19.71,39.49,72.48,0.5551,-0.1868,0.8432,0.5551,-0.1868,0.3432,0.6561,-0.2481,0.3170,21.0,0.306,0.272
S06,0.35,0.3400,-21.30,-6.77,158.29,-119.19,-7.94,31.13,68.33,0.2937,0.2783,1.1036,0.2937,0.2783,0.6036,0.3867,0.3538,0.6208,23.9,0.580,0.282
S07,0.50,0.5068,26.42,30.28,205.51,-105.84,-21.84,32.70,64.75,0.3835,-0.4461,0.9055,0.3835,-0.4461,0.4055,0.4374,-0.5525,0.3850,26.4,0.377,0.266
S08,0.50,0.4799,-34.25,31.85,176.26,-120.26,28.28,61.36,104.00,0.3714,0.3706,0.8573,0.3714,0.3706,0.3573,0.4278,0.4775,0.3516,34.3,0.349,0.280
S09,0.70,0.6850,-29.63,56.23,139.08,-127.26,16.97,54.16,86.15,0.1844,0.4437,0.7105,0.1844,0.4437,0.2105,0.1923,0.5584,0.1726,41.2,0.157,0.282
S10,0.70,0.6825,40.27,38.42,221.94,-116.13,12.45,36.75,56.84,0.1760,-0.5212,0.8080,0.1760,-0.5212,0.3080,0.2011,-0.6307,0.2631,41.9,0.245,0.270
S11,0.90,0.8905,16.35,-45.23,230.85,-78.76,2.60,55.74,95.54,-0.3451,-0.2004,1.4109,-0.3451,-0.2004,0.9109,-0.4078,-0.2173,1.0130,60.2,0.585,0.175
S12,0.90,0.9187,70.97,63.57,196.04,-71.98,-34.29,51.41,73.69,0.0777,-0.7493,0.7768,0.0777,-0.7493,0.2768,0.0499,-0.8660,0.2925,71.0,0.255,0.188
S13,1.10,1.1140,-16.96,-58.29,102.95,-62.02,-24.66,4.49,134.37,-0.6075,0.2315,1.2040,-0.6075,0.2315,0.7040,-0.6752,0.3144,0.7605,77.1,0.501,0.192
S14,1.10,1.1015,106.55,80.71,191.84,-20.44,54.10,47.12,14.27,-0.1650,-0.8406,0.8192,-0.1650,-0.8406,0.3192,-0.1202,-0.9512,0.3394,109.6,0.292,0.098
